Place,Aqu,Dij,Sens,Nev,MCa,Rome3,VimA
et,0,0,0,0,0,0,-5
,0,0,0,0,0,2,
oc,0,0,0,0,0,0,-3
cur,0,0,0,0,0,0,0
,4,4,4,4,4,,2
,2,2,2,2,2,,4
,,,,,0,,2
,,,,,,,0
e,0,0,0,0,0,0,0
,-3,-3,-3,-3,-3,,0
,,,0,0,,,-3
,0,,2,2,,,0
,2,,-3,-3,,,2
,-3,,,,,,2
,,,,,,,0
,,,,,,,2
,,,,,,,4
,,,,,,,0
,,,,,,,0
,,-1,,,-1,-1,-1
,,0,,,0,0,2
,,2,,,2,2,0
,,-3,,,-3,4,-1
,,4,,,4,0,0
,2,2,2,2,2,-1,-3
,4,4,4,4,4,0,-5
,2,,,,,2,
,,,,,,0,
,,,,,,2,
,,,,,,0,
,,,,,,-3,
jus,0,0,0,0,0,-3,-3
,-3,-3,-1,-3,-3,0,0
,0,0,0,0,0,-3,-3
,-1,-1,-1,-1,-1,-1,-3
,0,0,0,0,0,-3,-1
,-3,-3,-3,-3,-3,-5,-5
,-5,-5,-5,-5,-5,-3,-3
,,,,,-5,0,0
,-3,-3,-3,-3,-3,-1,-1
,,,,,,-3,0
,,,,,,0,-3
,,,,,,-1,0
,,,,,,-3,-1
,,,,,,0,0
,,,,,,-1,-1
,,,,,,-3,-3
,,,,,,-1,-1
,,,,,,-3,-3
,,,,,,-5,
,,,,,,-3,
,,,,,,-7,
,,,,,,-5,-5
,,,,,,-3,-3
,,,,,,-5,-5
,,,,,,-7,-7
us,-3,-7,-7,-7,-7,-3,-7
que,,,-7,-7,-7,,-7
,-5,-5,-5,-5,-5,,
,-3,-3,-3,-3,-3,-3,
ad,-3,-3,-3,-3,-3,-3,-7
,,0,-1,,0,-5,
,,,0,,,,
,,-1,-1,,-1,,
,,-3,-3,,-3,,
,,-1,0,,-1,,
sum,-3,-5,-5,-3,-5,-7,-7
,0,,,0,,-3,-5
,-1,,,-1,,0,-3
,-1,,,-1,,-1,0
,-3,,,-3,,-3,0
,0,,,,,,-3
,,,,-1,,-1,-1
,,,,,,-3,-3
mum,-5,,,-5,-3,-5,-5
,-3,-3,-3,-3,-3,-3,-3
,,,,,,-3,
e,0,0,0,0,0,0,0
,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,0
,2,2,2,2,2,2,2
sus,2,2,2,2,2,2,2
,0,0,0,0,0,0,2
,2,2,2,2,2,,2
,4,4,4,4,4,4,4
,2,2,2,2,2,2,2
