Place,Aqu,Klo,Dij,Sens,Arne,Nev,Gai,MCa,Rome3,VimA
be,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,-3,
,,,,,,,,,-5,
ne,,,,,,,,,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
dic,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,,-7
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,0,0,0,
,,,,,,,,,-1,-1
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-5
,,,,,,,,,0,-3
,,,,,,,,,-1,-1
tus,-5,-5,-5,-5,-5,-5,-5,-5,,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,,,,,,,,,0,
,,,,,,,,,-1,
,,,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
do,-5,-5,-5,-5,-5,,-5,-5,-5,-5
,,,,,,-3,,,-3,-3
,,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,-1,-1
,,,,,,,,,,-3
,,,,,,,,,,-1
,2,2,2,2,2,2,2,2,0,0
mi,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-5,-3
,,,,,,,,,-3,-5
,,,,,,,,,,-7
nus,,,,,,,,,-3,-3
,,,,,,,,,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-7,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-1,
,,-3,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,-3,
,,,,,,,,,-5,-7
de,0,0,-1,0,0,0,,-1,0,-7
,-1,0,-1,0,0,0,-1,-1,-1,-3
,0,0,0,-1,,-1,0,0,,0
,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
us,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,2
,,,,,,,,,,4
,,,,,,,,0,,0
,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,4
is,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,2,
,0,,0,0,0,0,0,0,0,0
,,-1,,,,,,,-1,
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,-1,-1
,,,,,,,,,-3,-3
,,,,,,,,,-1,-5
ra,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7
,0,0,0,0,0,0,0,0,0,
,,-1,,-1,-1,-1,-1,-1,-1,
,,,,,,,,,-3,-5
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
el,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,,-7,,-1
,,,,,,,,,,0
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,0,0,0,-1
,0,-1,-1,-1,-1,-1,-1,-1,-1,-3
,0,0,0,0,0,0,0,0,0,-1
,2,2,2,2,2,2,2,2,2,0
,-3,-3,-3,-3,-3,-3,-3,-3,0,0
,-3,-3,-3,-3,-3,-3,,-3,-3,0
,-5,-5,-5,-5,-5,-5,,-5,,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,,-5,-5,-5,-5,-5,-5,-5,-1
,-3,,,,-3,,-3,,-7,0
,-5,-5,,,-5,,-5,0,-5,2
,,-1,0,0,0,0,0,0,,0
,0,0,0,0,0,0,0,0,,-1
