Place,Aqu,Dij,Sens,Arne,Nev,NIt,Gai,MCa,Rome3,VimD
Di,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
cit,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
,-7,-7,-7,-7,-7,-7,-7,-7,,
,-5,-5,-5,-5,-5,-5,-5,-5,,
do,-3,-3,-3,-3,-3,0,-3,-3,0,2
,-5,-5,-5,-5,-5,-3,-5,-5,-1,4
,0,0,0,0,0,0,0,0,-3,2
,0,0,0,0,0,0,0,0,0,0
,,0,,,,,0,,-1,2
,2,2,2,2,2,2,2,2,-3,4
,,,,,,,,,-5,5
,,,,,,,,,-3,4
,,,,,,,,,0,2
,,,,,,,,,-1,
,,,,,,,,,-3,
mi,0,0,0,0,0,0,0,0,-5,4
,,,,,,,,,-1,2
,,,,,,,,,0,0
,,,,,,,,,-1,2
,,,,,,,,,-3,4
,,,,,,,,,,0
nus,0,0,0,0,0,0,0,0,-3,0
,,,,,,,,,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
e,0,0,0,0,0,0,0,0,-5,0
,,,,,,,,,,2
,,,,,,,,,,4
,,,,,,,,,,5
,,,,,,,,,,4
,,,,,,,,,,2
go,0,0,0,0,0,0,0,0,-3,2
,,,,,,,,,,4
,,,,,,,,,,2
,,,,,,,,,,0
co,0,0,0,0,0,0,0,0,-5,0
,4,4,4,4,4,4,4,4,0,
,2,2,2,2,2,2,2,2,-1,
gi,0,0,0,0,0,0,0,0,-3,2
to,0,0,0,0,0,0,0,0,-3,0
,-1,0,0,0,0,0,0,0,,-1
,0,0,0,0,0,0,0,0,,-3
,,,,,,,,,,-1
,,,,,,,,,,0
co,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
gi,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,-7,-7,-7,-7,-7,-5,-7,-7,,
,-5,-5,-5,-5,-5,-3,-5,-5,,-5
ta,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,,-5
,,0,0,0,0,0,0,0,,-3
,,0,0,0,0,0,0,0,,0
,,,,,,,0,,,
,,,2,2,2,2,2,2,,2
ti,0,0,0,0,0,0,0,0,-3,0
,,,,,,,,,-5,
o,0,0,0,0,0,0,0,0,-3,0
,2,2,2,2,2,2,2,2,,2
,4,4,4,4,4,4,4,4,,4
nes,4,4,4,4,4,4,4,4,-3,4
,0,0,0,0,0,0,0,0,-7,
,,,,,,,,,-5,
,,,,,,,,,-3,
pa,4,4,4,4,4,4,4,2,-3,4
,5,7,7,7,5,7,7,7,0,7
,,7,,7,7,7,7,7,-1,5
,7,7,,,,7,,,-5,4
,4,4,4,4,4,4,4,4,,5
,2,2,2,2,2,2,2,2,,7
,0,0,0,0,0,0,0,0,,5
,0,0,0,0,,,0,0,,
,0,4,,0,,,,,,
,,2,,,,,,,,
,,0,,,,,,,,
,2,2,2,2,2,,2,2,,
,,,,,4,,,,,
,0,0,0,0,0,,0,0,,
cis,,,,,,2,,,-3,4
,0,0,0,0,0,0,0,0,,5
,,,,,,,,,,7
,,,,,,,,,,2
et,0,2,0,,,,-1,2,-1,0
,,0,0,0,0,0,-3,0,-3,
,,2,2,2,2,2,0,2,-1,
,,,,,,,,,-3,
non,0,0,0,0,0,0,0,0,-5,0
,,,,,,2,,,-3,2
,,,,,,,,,0,0
,,,,,,,,,,2
af,0,0,0,0,0,0,0,0,0,2
,,,0,,0,,,,,0
,-1,-1,-1,-1,-1,-1,-1,-1,,-3
flic,2,2,2,2,2,2,2,2,0,0
,,,,,,,,,-1,2
