Place,Aqu,Ger1,Ger2,Dij,Arne,Nev,Gai,MCa,Rome3,VimC
Fac,-10,-10,-10,-10,-10,-10,-10,-10,,-7
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-5
,0,0,0,-2,-2,-2,-1,-1,-1,-3
tus,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-1,
est,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-1,
do,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
,,,,,,,,,,-3
,,,,,,,,,,-5
mi,,,,,,,,,-3,-3
,,,,,,,,,-5,-5
,,,,,,,,,-3,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,,-3
,-7,-7,-7,,-7,-7,-7,,-7,-7
nus,-7,-7,-7,-7,-7,-7,-7,-7,-5,-7
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-7,
pro,-5,-5,-5,-5,-5,-5,-5,-5,-7,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-5,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-3,-8
,,,,,,,,,,-7
,,,,,,,,,,-5
tec ,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3
,,,,,,,,,-3,-1
,,,,,,,,,-5,0
,,,,,,,,,,-3
tor,-3,-3,-3,-3,-3,-3,-3,-3,-7,-3
,-5,-5,-5,-5,-5,-5,-1,-5,-5,
,-3,,-3,-1,-3,-2,-3,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-7,
,,,,,,,,,-5,
me,0,0,0,-1,-3,-2,-3,-1,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,0,0,0,-1,-2,-2,-1,-1,-3,-3
,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1
,,,,,,,,,-3,-3
us,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,0,
et,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-5
e,,,,,,-3,,,,-3
,0,0,0,0,0,0,0,0,0,-1
,0,0,0,0,0,0,0,0,,0
du,0,0,0,0,0,0,0,0,2,0
,2,2,2,2,2,2,2,2,,2
,,,,,,,,,,0
xit ,-3,-3,-3,-3,-3,-3,-3,-3,0,-3
,-1,0,0,-1,-1,0,-1,-1,,
,,,-3,-3,-3,-1,-5,,,
,,,,,-7,,,,,
,,,,,-3,,-3,,,-3
,,,,,-5,,-5,,,-5
me,-3,-3,-3,-3,-3,-3,-5,-3,0,-3
,,,,,-5,,,,-1,
in,-5,-5,-5,-5,-5,-3,-3,-5,-3,-3
