Place ,Aqu,Ger1,Sens,Arne,Nev,Gai,MCa,Rome2,Rome3,VimA
do,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
,0,0,0,0,0,0,0,0,0,
,2,2,2,2,2,2,2,2,2,
,0,0,0,0,0,0,0,0,0,
mi,0,0,0,0,0,0,0,0,0,-1
,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,-1,-1,
,,,,,,,,-3,-3,
nus,-3,-3,-3,-3,-3,-3,-3,0,0,-3
,,,,,,,,-1,-1,
,,,,,,,,-3,-3,
di,-3,-3,,-3,,-3,-3,0,0,-1
,0,0,0,0,0,0,0,0,-1,0
,0,0,0,0,0,0,0,-1,,
xit ,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,0,-1,-1,
,0,0,0,0,0,0,0,,,
ad,-1,-1,-1,-1,,-1,-1,-3,-1,-5
,-5,-5,-5,-5,-5,-5,-5,-1,-3,
,-1,-3,-1,-3,-1,-3,-1,-3,-1,
,,,,,,,,-1,-3,
,,,,,,,,-3,-1,
,,,,,,,,-1,-3,
,,,,,,,,-3,,
,,,,,,,,-5,,
me,-3,-3,-3,-3,-3,-3,-3,-5,-5,-3
,,,,,,,,-3,-3,
,,,,,,,,-1,0,
,,,,,,,,0,-1,
,,,,,,,,-1,-3,
,,,,,,,,-3,-1,
,,,,,,,,-1,-3,
,,,,,,,,-3,-1,
,,,,,,,,0,0,
,,,,,,,,-1,-1,
fi,-3,-3,-3,-3,-3,-3,-3,-1,-3,-1
,0,0,,0,,-1,-1,-1,-1,
,-3,-3,,-3,,-3,-3,,,
li,-3,-3,-3,-3,-3,-3,-3,-5,-5,-5
,-5,-5,-5,-5,-5,-5,-5,,,
us,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
es,-3,-3,-3,-3,-3,-3,-3,-3,-3,-5
,0,0,-1,-1,-1,-1,-1,-1,-1,-3
,-3,-3,-3,-3,-3,-3,-3,0,0,
,-5,-5,-5,-5,-5,-5,-5,2,2,
,,,,,,,,0,0,
,,,,,,,,-1,-1,
,,,,,,,,-3,-3,
,,,,,,,,-1,-1,
,,,,,,,,-5,,
tu,-5,-5,-5,-5,-5,-5,-5,-3,-3,-5
,,,,,,,,0,0,
,,,,,,,,-1,-1,
,,,,,,,,-3,-3,
,,,,,,,,-5,-5,
e,-3,-3,-5,-5,-5,-5,-3,-5,-3,0
,0,0,-1,-1,-1,-1,0,0,0,
,2,2,2,2,2,2,2,2,2,
,0,0,0,0,0,0,0,0,0,
go,0,0,-1,0,0,0,0,0,0,-1
,-5,0,-5,0,,0,0,-1,-1,-3
,,0,,0,,0,0,0,0,
,,,,,,,,-1,-1,
,,,,,,,,-3,-3,
,,,,,,,,-5,-5,
ho,0,-3,-3,-3,-3,-3,-3,-5,-5,-1
,-1,0,0,0,0,0,0,-3,-3,0
,0,0,0,0,0,0,0,0,0,
,,0,0,0,,0,0,-1,-1,
,,,,,,,,0,0,
,,,,,,,,2,2,
,,,,,,,,0,0,
,,,,,,,,-1,-1,
di,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,0,0,
,,,,,,,,-3,,
e,-5,-5,-5,-7,-5,-5,-5,-3,-3,-5
,-7,,,,,,,0,0,
,,,,,,,,-1,-1,
,,,,,,,,-3,-3,
,,,,,,,,-5,-5,
ge,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,0,0,-1,0,-1,-1,-1,,,
,-5,-5,-5,-5,-5,-5,-5,,,
nu,0,0,0,0,-3,0,0,0,0,-1
,0,0,,0,0,0,0,-1,-1,
,,,,,0,,,,,
i,2,2,2,2,2,2,2,0,0,0
,0,0,0,0,0,0,0,2,2,
,-1,-1,-1,-1,-1,-1,-1,0,-1,
,0,0,0,0,0,0,0,-1,0,
,,,,,,,,-5,-1,
,,,,,,,,-3,-3,
,,,,,,,,0,-5,
,,,,,,,,-1,0,
,,,,,,,,0,-1,
,,,,,,,,2,0,
,,,,,,,,,2,
,,,,,,,,,-1,
te,-3,-3,-3,-3,-3,-3,-3,0,0,-3
,,,,,,,,0,-1,
,,,,,,,,-1,-3,
,,,,,,,,-3,,
