Place ,Aqu,Ger1,Dij,Arne,Nev,Che,Gai,MCa,Rou,Rome3
lex,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1
do,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,0,0,-2,-2,-1,-2,-1,-1,-2,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
mi,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-5,-5,-5,-5,-5,-5,-5,-3
,-5,-5,-7,-7,-7,-7,-7,-7,-7,-5
,,,-5,-5,-5,-5,-5,-5,-5,-7
ni,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,,,,,,,,,,-5
,,,,,,,,,,-3
,,,,,,,,,,-1
,,,,,,,,,,-3
,,,,,,,,,,-5
,,,,,,,,,,-3
ir,-5,-7,-5,-3,-3,-7,-7,-3,-3,-3
re,-5,-7,-5,-7,-3,-7,-7,-7,-3,-3
,,,,,,,,,,-3
pre,-5,-7,-5,-5,-7,-5,-7,-5,-7,-7
,,-5,,,,,,,,
hen,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-3,,,,,,,,,
si,,,,,,-3,,,,
,,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0
,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,0
bi,,,,,,,,,,2
,0,0,0,0,0,0,0,0,0,0
lis,0,0,0,0,0,0,0,0,0,0
con,0,0,0,0,0,0,0,0,0,0
,,,,,-1,,,,,
,,,,-3,-3,-3,-3,-3,-3,
ver,0,0,0,0,0,0,0,0,0,0
,,,,2,2,2,2,2,2,2
,,,,,,,,,,5
tens,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,2
a,0,0,0,0,0,0,0,0,0,0
ni,2,2,2,2,2,2,2,2,2,0
,0,0,0,0,0,0,0,0,0,-1
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
mas,0,-1,0,-1,-3,-1,0,0,0,-1
,-1,0,0,0,0,0,0,0,0,-3
,0,,,,0,,,,,-5
,,,,,,,,,,-3
,,,,,,,,,,0
tes,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
ti,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
,-7,-7,-7,-7,-7,-7,-7,-7,-7,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
mo,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
,-5,-5,-5,-5,-5,-5,-5,-7,-5,
,0,0,0,0,0,-1,0,0,0,
,-1,-1,,-1,0,0,-1,-1,-1,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
ni,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
um,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
de,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
i,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,0,0,-1,-1
,,,,,,,,,0,
fi,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
,,,,,,,,,,-3
de,-7,-7,-7,-7,-7,-7,-7,-7,-7,-1
,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,-1,-2,-2,-2,-1,-1,-1,-1,-5
,,,,,,,,,,-7
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-7,-7,-7,-5,-7,-7,-7,-7,-5,0
,,,,-7,,,,,-3,-1
,-5,,-5,-5,-5,,-5,-5,,-5
le,,,,,,,,,,-3
,,,,,,,,,,0
,,,,,,,,,,-1
,,,,,,,,,,-3
,-5,-5,-5,,-5,-5,,-5,,-5
,-7,,,-7,-7,-7,-7,,-7,
sa,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3
pi,-5,-3,-3,-5,-5,-5,-3,-5,-3,0
,-3,-5,-5,-3,-3,-3,-5,-3,-5,
,-5,,,-5,-5,-5,,-5,,
en,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
,-5,,,,,,,,,
ti,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
,,-7,-7,-7,-7,-7,-7,-7,-7,0
,,,,,,,,,,-1
,,,,,,,,,,-3
am,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3
,,,,,,,,,,-1
prae,-7,-5,-7,-7,-7,-7,-7,-7,-7,-3
,-5,-3,-3,-5,-3,-3,-3,-3,-5,-1
,,,,-3,,,,,-3,
stans,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,-5,,,,,-5
,,,,,,,,,,-3
par,-7,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,-1,,0
,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-7,-7,-5,-7,-5,-7,-5,-5,-5,-5
,,-8,-8,-8,-8,-8,-8,,-8,-1
,,,,,,,,,,-3
,,,,,,,,,,-5
,,,,,,,,,,-7
vu,-7,-7,-7,-7,-7,-7,-7,-3,-7,-7
,-7,-8,-8,-8,-8,-8,-8,-5,-5,-5
,,,,,,,,,,-3
,,,,,,,,,-7,-5
,,,,,,,,,-8,-3
,-8,,-8,-8,-8,-8,-8,-5,-8,-5
,-10,-10,-10,-10,-10,-10,-10,-7,,-7
,-8,-8,-8,-8,-8,-8,-8,-5,,-5
lis,-7,-7,-8,-8,-8,-8,-8,-5,-8,-5
,-10,-10,-10,-10,-10,-10,-10,-7,,-7
