Place,Aqu,Dij,Sens,Arne,Nev,NIt,Gai,MCa,Rome3,VimA
In,-8,-5,-5,-5,-5,-5,-8,-5,-12,-1
,,,,,,,,-8,,
no,-5,-3,-3,-3,-3,-3,-5,-5,-10,-3
,,0,0,0,0,0,,,-7,-1
mi,-3,,,,,,-3,-3,-7,-1
,0,0,0,0,0,0,-1,-1,,
ne,0,0,0,0,0,0,-1,-1,-7,-1
do,0,0,0,0,0,0,0,0,-5,-1
,,-1,,,-1,,-1,-1,,0
,,,,,,,,,,2
mi,0,0,0,0,0,0,-1,-1,-7,0
,,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,,,,-1
ni,0,0,0,0,0,0,-1,-1,-7,-1
om,,-1,,,,,-1,-1,-7,-5
,0,0,0,0,0,0,0,0,,-3
,,,,,,,,,,-1
ne,0,0,0,0,0,0,-1,-1,-7,-1
ge,0,0,0,0,0,0,-1,-1,-7,0
,,,,,,,,,,-1
nu,0,0,0,0,0,0,0,0,-7,0
,0,0,0,0,0,0,0,0,-7,-1
,0,0,0,0,0,0,0,0,-8,
,,,,,,,,,-10,
flec,-3,-3,-3,-3,-3,-3,-3,-3,-10,-3
,0,-1,0,0,-1,0,-1,-1,-12,
,-5,-5,-5,-5,-5,-5,-5,-5,,-5
ta,-3,-3,-3,-3,-3,-5,-3,-3,-10,0
,0,0,0,0,0,-3,0,-1,-5,0
,2,2,2,2,2,0,2,0,-7,2
,0,0,0,0,0,2,0,2,-7,0
,2,0,0,0,,0,0,0,,-1
,,,,,,-1,,,,
,,,,,,0,,,,
tur,0,0,0,0,0,0,0,0,-10,-1
,-1,-1,-1,-1,-1,-1,-1,-1,-5,
,0,,,,,,,,-7,
,,,,,,,,,-7,
cae,-3,-3,-3,-3,-3,,-3,-3,-10,0
,-5,-5,-5,-5,-5,-5,-5,-5,,0
,,,,,,,,,,-5
les,-3,-3,-3,-3,-3,-5,-3,-3,-12,-3
,0,-1,0,-1,-1,-3,-1,-1,-10,-1
,,,,,,,,,-7,
ti,-3,-3,-3,-3,-3,-3,-3,-3,-7,-1
,,,,,,,,,-7,
,,,,,,,,,-8,
,,,,,,,,,-10,
um,-1,-1,-1,-1,-1,-1,-1,-1,-8,-1
ter,-3,-3,-3,-3,-3,-3,-3,-3,-10,0
,-1,0,0,0,0,0,0,0,-10,0
,0,-1,0,,-1,,-1,-1,,-5
res,0,0,0,0,0,0,0,0,-12,-3
,-1,-1,-1,-1,-1,-1,-1,-1,-10,-5
,0,0,0,0,0,0,0,0,-5,-3
,-3,-3,-3,-3,-3,-3,-3,-3,,-1
,,,,,,,,,,-3
tri,-3,-3,-3,-3,-3,-3,-3,-3,-7,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-7,
,-3,-3,-3,-3,-3,-3,-3,-3,-8,
,-1,-1,-1,-1,-1,-1,-1,-1,-10,
,-3,-3,-3,-3,-3,-3,-3,-3,,
,-1,-1,-1,-1,-1,-1,-1,-1,,
um,0,-1,-1,-1,-1,-1,-1,-1,,
,-3,-3,-3,-3,-3,-3,-3,-3,-8,-3
,,,,,,,,,,-5
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,,,,-1
et,-3,-5,-5,-5,-5,-5,-5,-5,-10,-1
in,-3,-3,-3,-3,-3,-3,-3,-3,-10,0
,0,0,0,0,0,0,0,-1,-12,
,,,0,,,,,,-5,
fer,0,0,0,0,0,0,0,0,-7,-3
,-3,0,,0,0,0,0,0,,
,,0,,0,,,0,0,,
no,0,-1,-1,-1,-1,-1,-1,-1,-8,
,2,2,2,2,2,2,2,2,-5,0
,0,0,0,0,0,0,0,0,-7,0
,,,,,,-1,,,-8,-5
,,0,0,0,0,0,0,,-7,
rum,0,0,0,0,0,0,0,0,-7,-1
,,-1,-1,-1,-1,-1,-1,-1,,2
,,,,,,,,,,0
,,,,,,,,,-7,2
,,,,,,,,,,0
,,,,,,,,,-8,-1
,,,,,,,,,-7,-3
,,,,,,,,,-10,-1
,,,,,,,,,,0
,,,,,,,,,,0
qui,0,-1,-1,-1,-1,0,-1,-1,-8,-3
,,,,,,,,,-10,-5
a,2,2,2,2,2,2,2,2,-7,-1
,,,,,,,,2,,
do,4,4,4,4,4,4,4,4,-5,-1
,,,,,2,,,,,0
,,,,,,,,,,2
mi,2,0,2,2,2,2,2,0,-7,0
,,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,,,,-1
nus,0,-1,0,0,0,0,0,-1,-8,-1
fac,2,2,2,2,2,2,2,2,-5,-1
,,,,,,,,,,0
,,,,,,,,,,2
tus,0,0,0,0,0,0,-1,0,-7,0
o,0,-1,0,-1,0,0,0,-1,-8,0
,,,,,,,,,,0
,,,,,,,,,,-5
be,2,2,2,2,2,2,2,2,-5,-1
,0,0,0,0,0,0,0,0,-7,-3
,-1,,,,,,,0,-7,
,0,0,0,0,0,0,0,0,-8,
di,-3,-3,-3,-3,-3,-3,-3,-3,-8,-1
,-5,-5,-5,-5,-5,-5,-5,-5,-10,
ens,-5,-3,-5,-5,-3,-5,-3,-3,-8,-1
us,-3,-3,-3,-3,-3,-3,-3,-3,-8,0
,-5,-5,-5,-5,-5,-5,-5,-5,-8,-1
que,-3,-3,-3,-3,-3,-3,-3,-3,-10,2
,,,,,,,,,-12,0
ad,0,0,0,0,0,0,-1,0,-8,-1
,,,,,,,,,-10,
mor,-1,-1,-1,-1,-1,-1,-1,-1,-10,0
,2,2,2,2,2,2,2,2,-7,-1
,0,0,0,0,0,-1,0,0,-8,-3
,0,0,0,0,0,0,0,0,-7,-1
,,,,,,,,,,0
tem,0,0,0,0,0,0,0,0,-8,-3
,0,-1,-1,-1,-1,-1,-1,-1,-10,
mor,-5,-5,-5,-5,-5,-5,-5,-5,-12,-1
tem,-3,-3,-3,-3,-3,-3,-3,-3,-7,-3
,-1,-1,-1,,-1,-1,-1,-1,-10,
,,,-3,,-3,,,-3,,
au,-3,-1,-1,-1,-1,-1,-1,-1,-7,-5
,0,,,,,,,,,
tem,-3,-3,-3,-3,-3,-3,-3,-3,-5,-3
,,,,,,,,,-7,-1
,,,,,,,,,-7,
,,,,,,,,,-8,
cru,-5,-5,-5,-5,-3,-5,-5,-5,-10,-1
,,-3,-3,-3,-5,-3,-3,-3,-7,-5
,0,0,0,0,-1,-1,-1,-1,-5,-3
,,-3,-3,-3,-3,-3,,,-7,-1
,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
,-3,-3,-3,-3,-3,-3,-3,-3,-1,-5
,,,,,,,,,-3,
cis,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-1,
,-5,,,,,,-5,-5,-3,-5
,-7,,-7,-7,-7,-7,,,-5,-7
,,-8,-8,,-8,-8,-8,-8,-3,-8
,,,,,,,,,-5,
i,-8,-8,-8,-8,-8,-8,-8,-8,-12,
,-5,-7,-7,-7,-7,-7,-7,-7,-10,-7
,-3,-5,-5,-5,-5,-5,-5,-5,-7,
,,-3,-3,-3,-3,,-4,-3,,
de,-5,-5,-5,-5,-5,-5,-5,-5,-7,-8
,,,,,,,,,,-7
,,,,,,-5,,,,-5
o,-5,-5,-5,-5,-5,-5,-5,-5,-7,-5
do,-5,-5,-5,-5,-5,-5,-5,-5,-7,-5
,-3,-3,-3,-3,-3,-3,-3,-3,,-3
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,,,0
mi,-5,-5,-5,-5,-5,-5,-5,-5,-7,0
nus,-5,-5,-5,-5,-5,-5,-5,-5,-7,0
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,,,-3
Je,-5,-5,-5,-5,-5,-7,-5,-5,-7,-3
sus,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,-3,,,-3,,,-7,
,,,,,,,,,-7,
,,,,,,,,,-8,
Chris,-3,-3,-3,-3,-5,-3,-3,-3,-10,-7
,-5,-5,-5,-5,-3,-5,-5,-5,-7,-5
,-3,-3,-3,-3,-5,-3,-3,-3,-5,-1
,-1,-1,-1,-1,-3,-1,-1,-1,-7,-3
,-3,-3,-3,-3,-1,-3,-3,-3,-3,-5
,-1,-1,-1,-1,-3,-1,-1,-1,-1,-3
,,,,,-1,,,,-3,-1
tus,-1,-1,-1,-1,-1,-1,-1,-1,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,-5,
in,,-5,-5,-5,-5,-5,,-5,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-5,-3
glo,-3,-3,-3,-3,-3,-3,-3,-3,-7,
,,-1,-1,,,-1,-1,-1,-5,-1
,0,0,0,0,0,0,0,0,-3,
