Place,Aqu,Ger1,Dij,Arne,Nev,Aux,NIt,Gai,MCa,Rome3
Si,-7,-7,-8,-7,-7,-7,-8,-8,-8,-5
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-7
,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8
cut,-7,-7,-7,-7,-7,-7,-7,-8,-8,-5
o,-8,-8,-8,-8,-8,-8,-8,-8,-8,
,,-7,-7,-7,-7,-7,-7,-7,-7,
,-5,,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
cu,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
li,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
ser,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,,,-3,-3,-3,-3,-3,-3,-3,-3
vo,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,-5,,,,,,-5
num,-5,-5,-5,-5,-5,-5,-7,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-5,-3,-3,-3
,-1,,-1,-1,-1,-1,-3,-1,-1,0
,0,0,-1,-1,-1,-1,-3,-1,-1,-3
,-3,-3,-3,-3,-3,-3,-5,-3,-3,-3
in,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,-5,-5,-5,-5,-5,,,-5,
ma,,,,,,,,,,-3
,,,,,,,,,,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-1,,,,,,,,-1,
,0,0,0,0,0,0,0,0,0,0
ni,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
bus,-7,-8,-8,-7,-7,-7,-7,-8,-8,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,,-7,-7,-7,-7,-7,-7,-7,,-7
,,,,,,,,,,-8
,,,,,,,,,,-10
,,,,,,,,,,-7
,,,,,,,,,,-5
do,-7,-7,-7,-7,-7,-7,-7,-7,-7,
,-10,-10,-10,-10,-10,-10,-10,-10,-10,-5
mi,-7,-7,-7,-7,-7,-7,-7,-8,-8,-3
,,,,,,,,,,-5
no,,-8,-8,-8,-8,-8,-8,-8,-8,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,,,-5,-5,-5,-5,,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,
rum,-5,-5,-5,-5,-5,-5,-5,-8,-5,-5
su,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-5
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
o,-8,-8,-8,-8,-8,-8,-7,-8,-8,-7
,,,,,,,,,,-3
,,,,,,,,,,-7
,-5,-5,-5,-5,-5,-5,-3,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-5,-7,-7,-7
,,,,,,,-7,,,
,-7,-7,-7,-7,-7,-7,-5,-7,-7,-8
rum,-7,-7,-7,-7,-7,-7,-5,-7,-7,-7
,-8,-8,-8,-8,-8,-8,-7,-8,-8,-8
,,,,,,,,,,-7
i,,,,,,-8,,,,
,-7,-7,-8,-7,-7,-7,-7,-8,-8,-5
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-7
,-7,-7,-7,-7,-7,-3,-7,-8,-8,-8
ta,-7,-7,-7,-7,-7,-5,-7,-8,-8,-7
o,-8,-8,-8,-8,-8,,-8,-8,-8,
,,-7,-7,-7,-7,,-7,-7,-7,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
cu,-5,,-5,-5,-5,-5,-5,,-5,-3
,,-5,,,,,,-5,,
li,-5,,-5,-5,-5,-5,-5,,-5,-3
no,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
stri,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
ad,,,,,,,,,,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
do,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
mi,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,,-5
num,,,,,,,,,,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,-7,,,-7,-7,-8,,,
de,,-8,-8,-8,-8,-8,-8,-8,-8,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,,,,-5,-5,,,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
um,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-5
,,,,,,,,,,-3
no,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,,-7,-7,-7,-7,-7,-7,-7
,-7,-8,-8,-8,-8,-8,-8,-8,-8,-8
strum,,,,,,,,,,-7
,-7,-8,-8,-7,-8,-8,-8,-8,-8,-8
,,,,,,,,,,-7
do,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5
,,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,,-5,-5,-5,-5,-5,-5,-5,-8
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,,,,,,,,,,-7
nec,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,-3,-3,,,,-3
mi,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,,-3,-3,,-3,-3,-3,-3,-3
se,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,-3,-3,-3,-3,,-3,-3,,-3
re,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1
a,,,,,,,,,,-3
tur,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-1,
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,-1
,,,,,,,,,,-3
no,0,0,0,0,0,0,0,0,0,-3
,,,,,,,,,,-3
,,,,,,,,,,-5
,-1,-1,,-1,-1,-1,-1,-1,,-7
,,,,,,,,,,-5
,,,,,,,,,,-3
,,,,,,,,,,-1
,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
,,,,,,,,,,-3
,,,,,,,,,,-5
bis,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-1,0,-1,-1,-2,-2,-1,-1,-1,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7
mi,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
se,-5,-5,-5,-5,-5,-5,-7,-5,-5,-5
re,,,,,-5,-5,-5,-5,-5,-3
,-5,-5,-5,-3,-3,-3,-3,-3,,-1
re,-5,-5,,,,,,,,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
no,,,,-3,,,,,,-3
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
bis,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-8,-8,-8,-7,-7,
do,-8,-7,-7,-7,-7,-7,-7,-7,-7,-3
