Place,Aqu,Arne,Nev,Aux,NIt,Ven,Gai,MCa,Rome3,VimC
vic,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,,-7
,,,,,,,,,,-7
tri,-3,-3,-3,-3,-3,-3,-5,-5,-3,-10
,0,0,0,0,-1,0,0,-1,-1,
,,,,,,,,,-3,-5
,,,,,,,,,-1,
,,,,,,,,,-3,-3
,,,,,,,,,-5,-5
,,,,,,,,,-3,-3
,,,,,,,,,-1,-1
,,,,,,,,,0,
,,,,,,,,,-1,
cem,0,0,0,0,-1,0,0,-1,-1,-1
ma,,,,,,,,,,1
,0,0,0,0,-1,0,0,-1,0,0
,2,2,2,2,2,2,2,2,,2
,,,,,,,,,,0
num,,,,,,,,,,2
,0,0,0,0,0,0,0,0,0,0
tu,0,0,0,0,0,0,0,0,,-1
,-1,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,,2
,-3,-3,,,-3,-3,-3,,,0
,,,,,,,,,,2
am,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,,,-1
do,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,-1,-1
,,,,,,,,,,-3
,,,,,,,,,,-5
mi,-5,-5,-5,-5,-5,-5,-5,-5,,-3
,,-1,-1,-1,-1,-1,-1,-1,,-1
,0,,,,,,,,,0
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
ne,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
lau,-5,-5,-5,-5,-5,-5,-5,-5,-1,-5
da,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
,0,0,0,0,0,0,0,0,,0
,0,0,-1,-1,,,-1,-1,,-1
ve,,,,,,,,,,-1
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,-1
,,,,,,,,,,-3
runt,2,2,2,2,2,2,2,2,,
,0,0,0,0,0,,0,0,,0
,0,0,0,0,0,0,0,0,-5,0
pa,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,,0,0,0,,0
,,0,0,0,,0,0,0,,0
,-1,,,,-1,,,,-5,-1
,0,0,0,0,0,,0,,,0
,,,,,,,,,-3,-3
,,,,,,,,,-5,-3
ri,-5,-5,-5,-5,-3,-5,-5,-5,-7,-7
ter,-5,-5,-5,-5,-5,-5,-5,-5,-8,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,
,-3,-3,-3,-3,-3,-3,-3,-3,,-3
al,,,,,,,,,-10,
,,,,,,,,,-7,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
le,,,,,,,,,-1,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,-5,-5
,,,,,,,,,-7,-3
,,,,,,,,,-5,-5
,,,,,,,,,-3,-3
,,,,,,,,,-1,-1
,,,,,,,,,-3,-3
,,,,,,,,,-5,
,,,,,,,,,-7,-7
,,,,,,,,,-5,
,,,,,,,,,-7,-8
lu,-5,-5,-5,-5,-5,-5,-5,-5,,-8
,-3,-3,-3,-3,-3,-3,-3,-3,-10,-10
,-5,-5,-5,,-5,,,,,-8
,,-3,,-7,-3,-7,-7,-7,-7,-7
,-5,-5,-5,-5,,-5,-5,-5,,-5
,,,-7,,,,-7,,-8,-7
,,,,,,,,,-7,-8
ia,,,,,,,,,-7,
,,,,,,,,,-5,
,-7,,,-7,-7,-7,,,-7,
,,-8,-8,,,,-8,-8,-8,-8
qui,-7,-7,-7,-7,-7,-7,-8,-8,-3,-7
,,,,,,-7,,,,
a,-7,-7,-7,-7,-7,-7,-7,-7,-3,-7
,-7,-7,-7,-7,-7,-7,-7,-7,,
,-7,-7,-7,-7,,,-7,,,
