Place,Aqu,Dij,Arne,Nev,NIt,Gai,MCa,Rome3
Be,-5,-5,-5,-5,-5,-5,-5,-5
ne,-5,-5,-5,-5,-5,-5,-5,-3
,-3,-5,-3,-3,-3,-5,-5,0
di,0,0,0,0,0,-1,-1,0
ci,0,0,0,0,0,-1,-1,0
te,0,0,0,0,0,-1,-1,0
do,0,0,0,0,0,-1,-1,0
,,,0,,,,,
mi,0,0,0,0,0,-1,-1,0
num,0,0,0,0,0,-1,-1,0
om,0,0,0,0,0,-1,-1,0
,,,,,,0,,
nes,0,0,0,0,0,0,-1,0
an,0,0,0,0,0,-1,-1,0
ge,0,0,0,0,0,0,0,0
,-1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,-1
,-3,-3,-3,-3,-3,-3,-3,-3
li,-3,-3,-3,-3,-3,-3,-3,-5
,2,2,2,2,2,2,2,-3
e,,,,,,,,-3
,2,2,2,2,2,2,2,2
,0,,0,0,,0,,0
,,,,,,,,0
jus,0,0,0,0,0,0,0,-1
,2,2,2,2,2,2,2,2
,0,0,0,0,,0,0,0
,0,0,0,0,0,0,0,0
,,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,-3
po,-5,-5,-5,-5,-5,-5,-5,-5
ten,-5,-5,-5,-5,-5,-5,-5,-3
,-3,-3,-3,-3,-3,-3,-3,0
,,,,,,,,-1
tes,-3,-3,-3,-3,-3,-3,-3,-3
vir,-3,-3,-3,-3,-3,-3,-3,-5
tu,,,-3,-1,0,0,0,0
,0,0,0,0,0,0,0,-1
,,0,0,,,,,
,,,0,,,,,
,,,0,,,,,
te,-3,,,,,,-3,-3
,0,-1,-1,-1,-1,-1,-1,
,-3,-3,-3,-3,-3,-3,-3,
qui,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,
,-5,-5,-5,-5,-5,-5,-5,
fa,-3,-3,-3,-3,-3,-3,-3,-1
,-5,-5,-5,-5,-5,-5,-5,
,0,0,0,0,0,0,0,
,0,-1,-1,-1,0,-1,-1,
,,,0,0,2,,,
ci,0,-1,0,0,0,-1,-1,-3
tis,0,-1,0,0,0,-1,-1,-3
ver,,,,,,,0,
,,-3,-3,-3,-3,-1,0,-3
,0,0,0,0,0,-3,-3,
bum,0,0,0,0,0,,0,-5
,0,0,0,0,0,0,0,-7
,,0,0,0,0,0,,-5
e,-5,-5,-5,-3,-3,-5,-5,-7
,,,,,,,,-3
,,,,,,,,-5
,,,,,,,,-7
,-3,-3,-3,-5,-5,-3,-3,-5
,,,,,,,,-7
,,,,,,,,-8
jus,,,,,-5,,,-7
,-3,-3,-3,-3,-3,-3,-3,-8
,0,-1,-1,-1,-1,-1,-1,-7
,-3,-3,-3,-3,-3,-3,-3,-3
ad,-5,-5,-5,-5,-5,-5,,-3
au,-3,-3,-3,-3,-3,-3,-3,-3
di,-3,-3,-3,-3,0,-3,-3,
,2,2,2,2,2,0,2,-1
,0,0,0,0,0,-1,0,-3
en,0,-1,0,-1,-1,-1,-1,-5
,,,,,,,,-3
,,,,,,,,-1
,,-3,,-3,-3,,,2
,,,,,,,,0
,,,,,,,,-1
,,,,,,,,-3
dam,0,0,0,0,0,0,,-1
,-1,0,0,0,0,0,0,
,0,0,0,,,0,0,
,,,,,,0,,
vo,,,,,,,,0
,-3,-3,-3,-3,-3,-3,-3,0
,-5,-5,-5,-5,-5,-5,-5,-1
cem,-5,-5,-5,-5,-5,-5,-5,-3
,-7,-7,-7,-7,-7,-7,-7,
ser,,-7,,-7,,-3,-7,-3
,-5,-3,-3,-3,-3,-5,-3,-5
mo,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,
,-1,0,0,-1,0,0,0,
,0,0,0,0,0,0,0,
,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,
num,-5,-5,-5,-5,-5,-5,-5,-5
,-8,-7,-8,-8,-7,-8,-7,-7
,,,,,,,,-5
e,,,,,-8,,,-7
,-7,-7,-7,-7,-7,-8,-7,-3
,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,-7,-7,-7,-7,-7,-7
,-8,-8,-8,-8,-8,-8,,-5
,,,,,,,,-7
,,,,,,,,-8
jus,,,,,,,,-7
,-8,-8,-8,-8,-8,-8,-8,-8
