"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.0857142857142857 0.171428571428571 0.128571428571429 0.171428571428571 0.157142857142857 0.114285714285714 0.742857142857143 0.7 0.471428571428571
"Ger1" 0.0857142857142857 0 0.171428571428571 0.0571428571428571 0.185714285714286 0.0714285714285714 0.0571428571428571 0.714285714285714 0.685714285714286 0.485714285714286
"Sens" 0.171428571428571 0.171428571428571 0 0.142857142857143 0.0857142857142857 0.114285714285714 0.128571428571429 0.742857142857143 0.714285714285714 0.4
"Arne" 0.128571428571429 0.0571428571428571 0.142857142857143 0 0.157142857142857 0.0428571428571429 0.0857142857142857 0.714285714285714 0.714285714285714 0.485714285714286
"Nev" 0.171428571428571 0.185714285714286 0.0857142857142857 0.157142857142857 0 0.128571428571429 0.142857142857143 0.757142857142857 0.714285714285714 0.4
"Gai" 0.157142857142857 0.0714285714285714 0.114285714285714 0.0428571428571429 0.128571428571429 0 0.0428571428571429 0.714285714285714 0.714285714285714 0.471428571428571
"MCa" 0.114285714285714 0.0571428571428571 0.128571428571429 0.0857142857142857 0.142857142857143 0.0428571428571429 0 0.714285714285714 0.685714285714286 0.471428571428571
"Rome2" 0.742857142857143 0.714285714285714 0.742857142857143 0.714285714285714 0.757142857142857 0.714285714285714 0.714285714285714 0 0.185714285714286 1
"Rome3" 0.7 0.685714285714286 0.714285714285714 0.714285714285714 0.714285714285714 0.714285714285714 0.685714285714286 0.185714285714286 0 0.957142857142857
"VimA" 0.471428571428571 0.485714285714286 0.4 0.485714285714286 0.4 0.471428571428571 0.471428571428571 1 0.957142857142857 0
