"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.114285714285714 0.114285714285714 0.185714285714286 0.2 0.171428571428571 0.142857142857143 0.285714285714286 0.742857142857143 0.757142857142857
"Ger1" 0.114285714285714 0 0.0428571428571429 0.185714285714286 0.2 0.157142857142857 0.185714285714286 0.257142857142857 0.8 0.7
"Ger2" 0.114285714285714 0.0428571428571429 0 0.171428571428571 0.185714285714286 0.142857142857143 0.171428571428571 0.285714285714286 0.8 0.685714285714286
"Dij" 0.185714285714286 0.185714285714286 0.171428571428571 0 0.157142857142857 0.142857142857143 0.171428571428571 0.214285714285714 0.771428571428571 0.728571428571429
"Arne" 0.2 0.2 0.185714285714286 0.157142857142857 0 0.142857142857143 0.142857142857143 0.328571428571429 0.785714285714286 0.728571428571429
"Nev" 0.171428571428571 0.157142857142857 0.142857142857143 0.142857142857143 0.142857142857143 0 0.157142857142857 0.285714285714286 0.785714285714286 0.685714285714286
"Gai" 0.142857142857143 0.185714285714286 0.171428571428571 0.171428571428571 0.142857142857143 0.157142857142857 0 0.271428571428571 0.771428571428571 0.685714285714286
"MCa" 0.285714285714286 0.257142857142857 0.285714285714286 0.214285714285714 0.328571428571429 0.285714285714286 0.271428571428571 0 0.814285714285714 0.714285714285714
"Rome3" 0.742857142857143 0.8 0.8 0.771428571428571 0.785714285714286 0.785714285714286 0.771428571428571 0.814285714285714 0 0.814285714285714
"VimC" 0.757142857142857 0.7 0.685714285714286 0.728571428571429 0.728571428571429 0.685714285714286 0.685714285714286 0.714285714285714 0.814285714285714 0
