"Aqu" "Dij" "Sens" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.265625 0.1953125 0.1875 0.25 0.25 0.3203125 0.3046875 0.9765625 0.6875
"Dij" 0.265625 0 0.1015625 0.078125 0.1328125 0.1796875 0.1796875 0.15625 0.953125 0.640625
"Sens" 0.1953125 0.1015625 0 0.0703125 0.1171875 0.109375 0.21875 0.21875 0.9453125 0.625
"Arne" 0.1875 0.078125 0.0703125 0 0.1328125 0.140625 0.21875 0.21875 0.9375 0.6328125
"Nev" 0.25 0.1328125 0.1171875 0.1328125 0 0.1796875 0.2265625 0.203125 0.953125 0.6171875
"NIt" 0.25 0.1796875 0.109375 0.140625 0.1796875 0 0.265625 0.2734375 0.9140625 0.6171875
"Gai" 0.3203125 0.1796875 0.21875 0.21875 0.2265625 0.265625 0 0.1640625 0.96875 0.6171875
"MCa" 0.3046875 0.15625 0.21875 0.21875 0.203125 0.2734375 0.1640625 0 0.953125 0.59375
"Rome3" 0.9765625 0.953125 0.9453125 0.9375 0.953125 0.9140625 0.96875 0.953125 0 1
"VimA" 0.6875 0.640625 0.625 0.6328125 0.6171875 0.6171875 0.6171875 0.59375 1 0
