"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.1 0.242857142857143 0.214285714285714 0.214285714285714 0.171428571428571 0.214285714285714 0.214285714285714 0.742857142857143 0.585714285714286
"Ger1" 0.1 0 0.228571428571429 0.214285714285714 0.185714285714286 0.128571428571429 0.214285714285714 0.214285714285714 0.742857142857143 0.642857142857143
"Dij" 0.242857142857143 0.228571428571429 0 0.1 0.128571428571429 0.142857142857143 0.114285714285714 0.114285714285714 0.757142857142857 0.642857142857143
"Sens" 0.214285714285714 0.214285714285714 0.1 0 0.128571428571429 0.157142857142857 0.114285714285714 0.128571428571429 0.785714285714286 0.642857142857143
"Nev" 0.214285714285714 0.185714285714286 0.128571428571429 0.128571428571429 0 0.128571428571429 0.157142857142857 0.142857142857143 0.757142857142857 0.628571428571429
"Che" 0.171428571428571 0.128571428571429 0.142857142857143 0.157142857142857 0.128571428571429 0 0.157142857142857 0.128571428571429 0.757142857142857 0.628571428571429
"Gai" 0.214285714285714 0.214285714285714 0.114285714285714 0.114285714285714 0.157142857142857 0.157142857142857 0 0.1 0.757142857142857 0.642857142857143
"MCa" 0.214285714285714 0.214285714285714 0.114285714285714 0.128571428571429 0.142857142857143 0.128571428571429 0.1 0 0.7 0.642857142857143
"Rome3" 0.742857142857143 0.742857142857143 0.757142857142857 0.785714285714286 0.757142857142857 0.757142857142857 0.757142857142857 0.7 0 0.714285714285714
"VimA" 0.585714285714286 0.642857142857143 0.642857142857143 0.642857142857143 0.628571428571429 0.628571428571429 0.642857142857143 0.642857142857143 0.714285714285714 0
