"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.214285714285714 0.228571428571429 0.271428571428571 0.3 0.314285714285714 0.3 0.357142857142857 0.357142857142857 0.828571428571429
"Ger1" 0.214285714285714 0 0.185714285714286 0.185714285714286 0.285714285714286 0.185714285714286 0.157142857142857 0.285714285714286 0.257142857142857 0.8
"Dij" 0.228571428571429 0.185714285714286 0 0.157142857142857 0.171428571428571 0.157142857142857 0.128571428571429 0.257142857142857 0.228571428571429 0.842857142857143
"Arne" 0.271428571428571 0.185714285714286 0.157142857142857 0 0.171428571428571 0.1 0.128571428571429 0.242857142857143 0.185714285714286 0.828571428571429
"Nev" 0.3 0.285714285714286 0.171428571428571 0.171428571428571 0 0.185714285714286 0.128571428571429 0.242857142857143 0.214285714285714 0.814285714285714
"Che" 0.314285714285714 0.185714285714286 0.157142857142857 0.1 0.185714285714286 0 0.114285714285714 0.257142857142857 0.242857142857143 0.828571428571429
"Gai" 0.3 0.157142857142857 0.128571428571429 0.128571428571429 0.128571428571429 0.114285714285714 0 0.2 0.157142857142857 0.8
"MCa" 0.357142857142857 0.285714285714286 0.257142857142857 0.242857142857143 0.242857142857143 0.257142857142857 0.2 0 0.214285714285714 0.728571428571429
"Rou" 0.357142857142857 0.257142857142857 0.228571428571429 0.185714285714286 0.214285714285714 0.242857142857143 0.157142857142857 0.214285714285714 0 0.714285714285714
"Rome3" 0.828571428571429 0.8 0.842857142857143 0.828571428571429 0.814285714285714 0.828571428571429 0.8 0.728571428571429 0.714285714285714 0
