"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.328571428571429 0.4 0.3 0.357142857142857 0.4 0.428571428571429 0.457142857142857 0.414285714285714 0.871428571428571
"Ger1" 0.328571428571429 0 0.3 0.285714285714286 0.242857142857143 0.328571428571429 0.371428571428571 0.371428571428571 0.428571428571429 0.871428571428571
"Dij" 0.4 0.3 0 0.2 0.228571428571429 0.285714285714286 0.3 0.214285714285714 0.228571428571429 0.928571428571429
"Arne" 0.3 0.285714285714286 0.2 0 0.171428571428571 0.257142857142857 0.257142857142857 0.285714285714286 0.314285714285714 0.857142857142857
"Nev" 0.357142857142857 0.242857142857143 0.228571428571429 0.171428571428571 0 0.128571428571429 0.257142857142857 0.3 0.314285714285714 0.871428571428571
"Aux" 0.4 0.328571428571429 0.285714285714286 0.257142857142857 0.128571428571429 0 0.342857142857143 0.357142857142857 0.285714285714286 0.914285714285714
"NIt" 0.428571428571429 0.371428571428571 0.3 0.257142857142857 0.257142857142857 0.342857142857143 0 0.342857142857143 0.4 0.914285714285714
"Gai" 0.457142857142857 0.371428571428571 0.214285714285714 0.285714285714286 0.3 0.357142857142857 0.342857142857143 0 0.214285714285714 0.985714285714286
"MCa" 0.414285714285714 0.428571428571429 0.228571428571429 0.314285714285714 0.314285714285714 0.285714285714286 0.4 0.214285714285714 0 0.957142857142857
"Rome3" 0.871428571428571 0.871428571428571 0.928571428571429 0.857142857142857 0.871428571428571 0.914285714285714 0.914285714285714 0.985714285714286 0.957142857142857 0
