"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 40.875 36.5555555555556 34.6363636363636 40 42.6363636363636 42.6363636363636 99.7272727272727 14 46.8 94 119.4 8 83.5 18.6666666666667 25 87 26 157 41.5 56
"Dij" 40.875 0 27.4285714285714 24.125 33.75 23.375 30 112 15.75 45.5 NA 155 12 51 10.5 16 106 NA 159 20 NA
"Arne" 36.5555555555556 27.4285714285714 0 22.1111111111111 25.6 27.5555555555556 36 102.777777777778 12.75 25.75 50 149.666666666667 13 77 7 13 102 NA 175 19 29
"Nev" 34.6363636363636 24.125 22.1111111111111 0 31.8 27.7272727272727 31.9090909090909 100.818181818182 17.8333333333333 30.4 90 115.8 10 75 11 15 103 12 161 12 29
"NIt" 40 33.75 25.6 31.8 0 39.6 39.4 102 26 34 NA 79 NA 101 NA NA NA NA 166 31.5 36
"Gai" 42.6363636363636 23.375 27.5555555555556 27.7272727272727 39.6 0 27.6363636363636 101.181818181818 22.3333333333333 39.8 96.5 122.2 12 73 27.6666666666667 11 108 65 156 24.5 22
"MCa" 42.6363636363636 30 36 31.9090909090909 39.4 27.6363636363636 0 102.181818181818 22.1666666666667 47.2 86.5 111.8 20 76 18.3333333333333 15 154 27 150 23.5 29
"Rome3" 99.7272727272727 112 102.777777777778 100.818181818182 102 101.181818181818 102.181818181818 0 64.3333333333333 136.2 93 144.6 56 86.5 76 50 246 115 313 70.5 74
"Ger1" 14 15.75 12.75 17.8333333333333 26 22.3333333333333 22.1666666666667 64.3333333333333 0 13.5 99.5 63.3333333333333 3 49 15.3333333333333 18 NA 30 NA 23 NA
"Sens" 46.8 45.5 25.75 30.4 34 39.8 47.2 136.2 13.5 0 52 120 NA NA 11 NA 103 NA 179 NA NA
"Rome2" 94 NA 50 90 NA 96.5 86.5 93 99.5 52 0 81 NA NA 134 NA NA 132 NA NA NA
"VimA" 119.4 155 149.666666666667 115.8 79 122.2 111.8 144.6 63.3333333333333 120 81 0 NA NA 70 NA 342 92 NA NA NA
"Ger2" 8 12 13 10 NA 12 20 56 3 NA NA NA 0 48 NA NA NA NA NA NA NA
"VimC" 83.5 51 77 75 101 73 76 86.5 49 NA NA NA 48 0 NA NA NA NA NA 106 109
"Che" 18.6666666666667 10.5 7 11 NA 27.6666666666667 18.3333333333333 76 15.3333333333333 11 134 70 NA NA 0 17 NA 10 NA NA NA
"Rou" 25 16 13 15 NA 11 15 50 18 NA NA NA NA NA 17 0 NA NA NA NA NA
"Klo" 87 106 102 103 NA 108 154 246 NA 103 NA 342 NA NA NA NA 0 NA NA NA NA
"Paris" 26 NA NA 12 NA 65 27 115 30 NA 132 92 NA NA 10 NA NA 0 NA NA NA
"VimD" 157 159 175 161 166 156 150 313 NA 179 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 41.5 20 19 12 31.5 24.5 23.5 70.5 23 NA NA NA NA 106 NA NA NA NA NA 0 19
"Ven" 56 NA 29 29 36 22 29 74 NA NA NA NA NA 109 NA NA NA NA NA 19 0
