"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 23 21 25 32 32 29 61 11.5 25 94 88 8 83.5 22 25 87 26 157 41.5 56
"Dij" 23 0 13 14 22 17 17 62 14.5 39 NA 82 12 51 10.5 16 106 NA 159 20 NA
"Arne" 21 13 0 12 18 22 25 60 13.5 14.5 50 81 13 77 7 13 102 NA 175 19 29
"Nev" 25 14 12 0 23 24 22 61 15 15 90 79 10 75 11 15 103 12 161 12 29
"NIt" 32 22 18 23 0 34 34 73 26 34 NA 79 NA 101 NA NA NA NA 166 31.5 36
"Gai" 32 17 22 24 34 0 16 69 14 28 96.5 79 12 73 11 11 108 65 156 24.5 22
"MCa" 29 17 25 22 34 16 0 67 19 28 86.5 76 20 76 18 15 154 27 150 23.5 29
"Rome3" 61 62 60 61 73 69 67 0 56 121 93 128 56 86.5 58 50 246 115 313 70.5 74
"Ger1" 11.5 14.5 13.5 15 26 14 19 56 0 13.5 99.5 45 3 49 13 18 NA 30 NA 23 NA
"Sens" 25 39 14.5 15 34 28 28 121 13.5 0 52 62.5 NA NA 11 NA 103 NA 179 NA NA
"Rome2" 94 NA 50 90 NA 96.5 86.5 93 99.5 52 0 81 NA NA 134 NA NA 132 NA NA NA
"VimA" 88 82 81 79 79 79 76 128 45 62.5 81 0 NA NA 70 NA 342 92 NA NA NA
"Ger2" 8 12 13 10 NA 12 20 56 3 NA NA NA 0 48 NA NA NA NA NA NA NA
"VimC" 83.5 51 77 75 101 73 76 86.5 49 NA NA NA 48 0 NA NA NA NA NA 106 109
"Che" 22 10.5 7 11 NA 11 18 58 13 11 134 70 NA NA 0 17 NA 10 NA NA NA
"Rou" 25 16 13 15 NA 11 15 50 18 NA NA NA NA NA 17 0 NA NA NA NA NA
"Klo" 87 106 102 103 NA 108 154 246 NA 103 NA 342 NA NA NA NA 0 NA NA NA NA
"Paris" 26 NA NA 12 NA 65 27 115 30 NA 132 92 NA NA 10 NA NA 0 NA NA NA
"VimD" 157 159 175 161 166 156 150 313 NA 179 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 41.5 20 19 12 31.5 24.5 23.5 70.5 23 NA NA NA NA 106 NA NA NA NA NA 0 19
"Ven" 56 NA 29 29 36 22 29 74 NA NA NA NA NA 109 NA NA NA NA NA 19 0
