"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.0625 0.0625 0.1015625 0.109375 0.09375 0.078125 0.15625 0.40625 0.4140625
"Ger1" 0.0625 0 0.0234375 0.1015625 0.109375 0.0859375 0.1015625 0.140625 0.4375 0.3828125
"Ger2" 0.0625 0.0234375 0 0.09375 0.1015625 0.078125 0.09375 0.15625 0.4375 0.375
"Dij" 0.1015625 0.1015625 0.09375 0 0.0859375 0.078125 0.09375 0.1171875 0.421875 0.3984375
"Arne" 0.109375 0.109375 0.1015625 0.0859375 0 0.078125 0.078125 0.1796875 0.4296875 0.3984375
"Nev" 0.09375 0.0859375 0.078125 0.078125 0.078125 0 0.0859375 0.15625 0.4296875 0.375
"Gai" 0.078125 0.1015625 0.09375 0.09375 0.078125 0.0859375 0 0.1484375 0.421875 0.375
"MCa" 0.15625 0.140625 0.15625 0.1171875 0.1796875 0.15625 0.1484375 0 0.4453125 0.390625
"Rome3" 0.40625 0.4375 0.4375 0.421875 0.4296875 0.4296875 0.421875 0.4453125 0 0.4453125
"VimC" 0.4140625 0.3828125 0.375 0.3984375 0.3984375 0.375 0.375 0.390625 0.4453125 0
