"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.1171875 0.125 0.1484375 0.1640625 0.171875 0.1640625 0.1953125 0.1953125 0.453125
"Ger1" 0.1171875 0 0.1015625 0.1015625 0.15625 0.1015625 0.0859375 0.15625 0.140625 0.4375
"Dij" 0.125 0.1015625 0 0.0859375 0.09375 0.0859375 0.0703125 0.140625 0.125 0.4609375
"Arne" 0.1484375 0.1015625 0.0859375 0 0.09375 0.0546875 0.0703125 0.1328125 0.1015625 0.453125
"Nev" 0.1640625 0.15625 0.09375 0.09375 0 0.1015625 0.0703125 0.1328125 0.1171875 0.4453125
"Che" 0.171875 0.1015625 0.0859375 0.0546875 0.1015625 0 0.0625 0.140625 0.1328125 0.453125
"Gai" 0.1640625 0.0859375 0.0703125 0.0703125 0.0703125 0.0625 0 0.109375 0.0859375 0.4375
"MCa" 0.1953125 0.15625 0.140625 0.1328125 0.1328125 0.140625 0.109375 0 0.1171875 0.3984375
"Rou" 0.1953125 0.140625 0.125 0.1015625 0.1171875 0.1328125 0.0859375 0.1171875 0 0.390625
"Rome3" 0.453125 0.4375 0.4609375 0.453125 0.4453125 0.453125 0.4375 0.3984375 0.390625 0
