"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.0546875 0.1328125 0.1171875 0.1171875 0.09375 0.1171875 0.1171875 0.40625 0.3203125
"Ger1" 0.0546875 0 0.125 0.1171875 0.1015625 0.0703125 0.1171875 0.1171875 0.40625 0.3515625
"Dij" 0.1328125 0.125 0 0.0546875 0.0703125 0.078125 0.0625 0.0625 0.4140625 0.3515625
"Sens" 0.1171875 0.1171875 0.0546875 0 0.0703125 0.0859375 0.0625 0.0703125 0.4296875 0.3515625
"Nev" 0.1171875 0.1015625 0.0703125 0.0703125 0 0.0703125 0.0859375 0.078125 0.4140625 0.34375
"Che" 0.09375 0.0703125 0.078125 0.0859375 0.0703125 0 0.0859375 0.0703125 0.4140625 0.34375
"Gai" 0.1171875 0.1171875 0.0625 0.0625 0.0859375 0.0859375 0 0.0546875 0.4140625 0.3515625
"MCa" 0.1171875 0.1171875 0.0625 0.0703125 0.078125 0.0703125 0.0546875 0 0.3828125 0.3515625
"Rome3" 0.40625 0.40625 0.4140625 0.4296875 0.4140625 0.4140625 0.4140625 0.3828125 0 0.390625
"VimA" 0.3203125 0.3515625 0.3515625 0.3515625 0.34375 0.34375 0.3515625 0.3515625 0.390625 0
