"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.1796875 0.21875 0.1640625 0.1953125 0.21875 0.234375 0.25 0.2265625 0.4765625
"Ger1" 0.1796875 0 0.1640625 0.15625 0.1328125 0.1796875 0.203125 0.203125 0.234375 0.4765625
"Dij" 0.21875 0.1640625 0 0.109375 0.125 0.15625 0.1640625 0.1171875 0.125 0.5078125
"Arne" 0.1640625 0.15625 0.109375 0 0.09375 0.140625 0.140625 0.15625 0.171875 0.46875
"Nev" 0.1953125 0.1328125 0.125 0.09375 0 0.0703125 0.140625 0.1640625 0.171875 0.4765625
"Aux" 0.21875 0.1796875 0.15625 0.140625 0.0703125 0 0.1875 0.1953125 0.15625 0.5
"NIt" 0.234375 0.203125 0.1640625 0.140625 0.140625 0.1875 0 0.1875 0.21875 0.5
"Gai" 0.25 0.203125 0.1171875 0.15625 0.1640625 0.1953125 0.1875 0 0.1171875 0.5390625
"MCa" 0.2265625 0.234375 0.125 0.171875 0.171875 0.15625 0.21875 0.1171875 0 0.5234375
"Rome3" 0.4765625 0.4765625 0.5078125 0.46875 0.4765625 0.5 0.5 0.5390625 0.5234375 0
