"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 21 16.8333333333333 18.8571428571429 26.6666666666667 22.2857142857143 23.4285714285714 62.2857142857143 11.8 17.3333333333333 52 54 8 53 17 25 28
"Dij" 21 0 11.8 12.5 18.6666666666667 14.3333333333333 15.5 65.5 15.75 10 NA 63.5 12 51 10.5 16 20
"Arne" 16.8333333333333 11.8 0 12.1666666666667 16.6666666666667 15.3333333333333 20.1666666666667 63.8333333333333 12.75 9.5 50 57.5 13 51 7 13 18
"Nev" 18.8571428571429 12.5 12.1666666666667 0 17 16.2857142857143 18.2857142857143 62.2857142857143 14.8 10 53 50.3333333333333 10 48 11 15 9
"NIt" 26.6666666666667 18.6666666666667 16.6666666666667 17 0 28.3333333333333 29.3333333333333 73.6666666666667 26 14 NA 79 NA NA NA NA 24
"Gai" 22.2857142857143 14.3333333333333 15.3333333333333 16.2857142857143 28.3333333333333 0 13.5714285714286 64.7142857142857 14 14.6666666666667 50 52.3333333333333 12 48 9.5 11 25
"MCa" 23.4285714285714 15.5 20.1666666666667 18.2857142857143 29.3333333333333 13.5714285714286 0 63.4285714285714 17.4 15.3333333333333 50 51.3333333333333 20 50 13.5 15 20
"Rome3" 62.2857142857143 65.5 63.8333333333333 62.2857142857143 73.6666666666667 64.7142857142857 63.4285714285714 0 54.6 75.3333333333333 13 81.6666666666667 56 57 55.5 50 64
"Ger1" 11.8 15.75 12.75 14.8 26 14 17.4 54.6 0 13.5 50 39.5 3 49 11 18 23
"Sens" 17.3333333333333 10 9.5 10 14 14.6666666666667 15.3333333333333 75.3333333333333 13.5 0 52 51 NA NA 11 NA NA
"Rome2" 52 NA 50 53 NA 50 50 13 50 52 0 70 NA NA NA NA NA
"VimA" 54 63.5 57.5 50.3333333333333 79 52.3333333333333 51.3333333333333 81.6666666666667 39.5 51 70 0 NA NA 44 NA NA
"Ger2" 8 12 13 10 NA 12 20 56 3 NA NA NA 0 48 NA NA NA
"VimC" 53 51 51 48 NA 48 50 57 49 NA NA NA 48 0 NA NA NA
"Che" 17 10.5 7 11 NA 9.5 13.5 55.5 11 11 NA 44 NA NA 0 17 NA
"Rou" 25 16 13 15 NA 11 15 50 18 NA NA NA NA NA 17 0 NA
"Aux" 28 20 18 9 24 25 20 64 23 NA NA NA NA NA NA NA 0
