"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 17.5 16.5 15 30 21 25 52 8 15 52 41 8 53 17 25 28
"Dij" 17.5 0 11 11.5 21 13.5 16 56.5 14.5 10 NA 63.5 12 51 10.5 16 20
"Arne" 16.5 11 0 11.5 18 15 22.5 56.5 13.5 9.5 50 57.5 13 51 7 13 18
"Nev" 15 11.5 11.5 0 18 11 20 55 13 9 53 44 10 48 11 15 9
"NIt" 30 21 18 18 0 27 28 64 26 14 NA 79 NA NA NA NA 24
"Gai" 21 13.5 15 11 27 0 15 54 13 8 50 45 12 48 9.5 11 25
"MCa" 25 16 22.5 20 28 15 0 51 18 9 50 45 20 50 13.5 15 20
"Rome3" 52 56.5 56.5 55 64 54 51 0 56 55 13 67 56 57 55.5 50 64
"Ger1" 8 14.5 13.5 13 26 13 18 56 0 13.5 50 39.5 3 49 11 18 23
"Sens" 15 10 9.5 9 14 8 9 55 13.5 0 52 45 NA NA 11 NA NA
"Rome2" 52 NA 50 53 NA 50 50 13 50 52 0 70 NA NA NA NA NA
"VimA" 41 63.5 57.5 44 79 45 45 67 39.5 45 70 0 NA NA 44 NA NA
"Ger2" 8 12 13 10 NA 12 20 56 3 NA NA NA 0 48 NA NA NA
"VimC" 53 51 51 48 NA 48 50 57 49 NA NA NA 48 0 NA NA NA
"Che" 17 10.5 7 11 NA 9.5 13.5 55.5 11 11 NA 44 NA NA 0 17 NA
"Rou" 25 16 13 15 NA 11 15 50 18 NA NA NA NA NA 17 0 NA
"Aux" 28 20 18 9 24 25 20 64 23 NA NA NA NA NA NA NA 0
