"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.417393041546662 0.417671303574359 0.415352453343544 0.413497373158893 0.408469129500494 0.4083959026511 0.410714752881915 0.48759904627536 0.47745944670205
"Ger1" 0.417393041546662 0 0.432140929014644 0.437242399522436 0.427039458506851 0.413663354017519 0.424720608276036 0.429822078783829 0.503923751900297 0.495546478502405
"Dij" 0.417671303574359 0.432140929014644 0 0.388082774629162 0.405149512327959 0.39650386230949 0.392349459053862 0.387711758592232 0.481741273846133 0.48296285124985
"Sens" 0.415352453343544 0.437242399522436 0.388082774629162 0 0.402923416106377 0.404944477149656 0.395595849377002 0.397450929561655 0.48953261062167 0.478881674843616
"Nev" 0.413497373158893 0.427039458506851 0.405149512327959 0.402923416106377 0 0.395112552171001 0.399677025783237 0.390401624859977 0.490274642695531 0.48321019527447
"Che" 0.408469129500494 0.413663354017519 0.39650386230949 0.404944477149656 0.395112552171001 0 0.394277766087908 0.395205306180234 0.489513083461832 0.481355115089819
"Gai" 0.4083959026511 0.424720608276036 0.392349459053862 0.395595849377002 0.399677025783237 0.394277766087908 0 0.389103068730721 0.490645658732461 0.474213056378909
"MCa" 0.410714752881915 0.429822078783829 0.387711758592232 0.397450929561655 0.390401624859977 0.395205306180234 0.389103068730721 0 0.473022396978269 0.476068136563561
"Rome3" 0.48759904627536 0.503923751900297 0.481741273846133 0.48953261062167 0.490274642695531 0.489513083461832 0.490645658732461 0.473022396978269 0 0.466504319784015
"VimA" 0.47745944670205 0.495546478502405 0.48296285124985 0.478881674843616 0.48321019527447 0.481355115089819 0.474213056378909 0.476068136563561 0.466504319784015 0
