"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.392706205243218 0.372485831230513 0.345494414543829 0.354887866024293 0.369171983446112 0.360174844550551 0.378062098484867 0.359871285974881 0.569346887009225
"Ger1" 0.392706205243218 0 0.386042186426046 0.366100074441038 0.361765932555079 0.387180531084809 0.377626868133853 0.374990189479793 0.395688603386235 0.600924686122811
"Dij" 0.372485831230513 0.386042186426046 0 0.321021625953999 0.335238285914558 0.355087643890333 0.342565852643933 0.348462542839272 0.343560850197519 0.57190443287219
"Arne" 0.345494414543829 0.366100074441038 0.321021625953999 0 0.306206281024757 0.321417938538902 0.314275879827992 0.329447970946591 0.319073791760114 0.541045887492885
"Nev" 0.354887866024293 0.361765932555079 0.335238285914558 0.306206281024757 0 0.303676626227505 0.312673765123066 0.328149414817335 0.322412936092488 0.546649320874171
"Aux" 0.369171983446112 0.387180531084809 0.355087643890333 0.321417938538902 0.303676626227505 0 0.33252312309884 0.347917045484274 0.325484845097562 0.549735499726819
"NIt" 0.360174844550551 0.377626868133853 0.342565852643933 0.314275879827992 0.312673765123066 0.33252312309884 0 0.335476981546709 0.335305743375818 0.554002909090299
"Gai" 0.378062098484867 0.374990189479793 0.348462542839272 0.329447970946591 0.328149414817335 0.347917045484274 0.335476981546709 0 0.345216152516131 0.573237938681598
"MCa" 0.359871285974881 0.395688603386235 0.343560850197519 0.319073791760114 0.322412936092488 0.325484845097562 0.335305743375818 0.345216152516131 0 0.558744390261557
"Rome3" 0.569346887009225 0.600924686122811 0.57190443287219 0.541045887492885 0.546649320874171 0.549735499726819 0.554002909090299 0.573237938681598 0.558744390261557 0
