"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 72.3083333333333 72.5833333333333 74.3 70.8166666666667 73.3833333333333 73.8 87.6150889701973 75 76.25 88.5833333333333 90.4166666666667 95.3833333333333 117.567043740573 70.2815789473684 72.1833333333333 66.3353146853147
"Dij" 72.3083333333333 0 64.3166666666667 67.65 64.75 66.8333333333333 67.5463423831071 94.663087471524 73.5083333333333 99.4916666666667 NA 131.688448969331 94.6777777777778 117.58371040724 67.2899122807018 67.6474358974359 63.8045454545455
"Arne" 72.5833333333333 64.3166666666667 0 69.8333333333333 66.5666666666667 69.1166666666667 70.6166666666667 91.3093891402715 70.4 102.333333333333 87.0666666666667 134.880769230769 93.1111111111111 113.717043740573 59.15 62.1974358974359 57.7545454545455
"Nev" 74.3 67.65 69.8333333333333 0 64.0666666666667 71.8166666666667 70.15 88.0958582009666 76.7333333333333 74 87.9166666666667 90.5 93.95 113.667043740573 65.1482456140351 64.8141025641026 54.5666666666667
"NIt" 70.8166666666667 64.75 66.5666666666667 64.0666666666667 0 67.6333333333333 68.75 99.5469834087481 67.8545454545455 131.666666666667 NA 176.494871794872 NA NA NA NA 59.75
"Gai" 73.3833333333333 66.8333333333333 69.1166666666667 71.8166666666667 67.6333333333333 0 69.9166666666667 88.1625248676332 74.25 73.5 85.9166666666667 90.1666666666667 94.4166666666667 113.567043740573 66.0065789473684 63.7807692307692 62.5160839160839
"MCa" 73.8 67.5463423831071 70.6166666666667 70.15 68.75 69.9166666666667 0 84.9958582009666 74.5 74.25 86.6666666666667 90.1666666666667 102.076470588235 116.88371040724 66.8779213304755 66.8448717948718 58.4853146853147
"Rome3" 87.6150889701973 94.663087471524 91.3093891402715 88.0958582009666 99.5469834087481 88.1625248676332 84.9958582009666 0 90.5484223035307 87.9625248676332 52.9166666666667 92.8333333333333 111.040573152338 117.897682709447 86.2564059865144 84.8938616938617 98.7801864801865
"Ger1" 75 73.5083333333333 70.4 76.7333333333333 67.8545454545455 74.25 74.5 90.5484223035307 0 77.6583333333333 88.1666666666667 89.8549019607843 95 118.817043740573 69.7815789473684 70.1807692307692 69.5712121212121
"Sens" 76.25 99.4916666666667 102.333333333333 74 131.666666666667 73.5 74.25 87.9625248676332 77.6583333333333 0 87.0833333333333 88.9166666666667 NA NA 72.7631578947368 NA NA
"Rome2" 88.5833333333333 NA 87.0666666666667 87.9166666666667 NA 85.9166666666667 86.6666666666667 52.9166666666667 88.1666666666667 87.0833333333333 0 91.9166666666667 NA NA NA NA NA
"VimA" 90.4166666666667 131.688448969331 134.880769230769 90.5 176.494871794872 90.1666666666667 90.1666666666667 92.8333333333333 89.8549019607843 88.9166666666667 91.9166666666667 0 NA NA 86.493137254902 NA NA
"Ger2" 95.3833333333333 94.6777777777778 93.1111111111111 93.95 NA 94.4166666666667 102.076470588235 111.040573152338 95 NA NA NA 0 118.817043740573 NA NA NA
"VimC" 117.567043740573 117.58371040724 113.717043740573 113.667043740573 NA 113.567043740573 116.88371040724 117.897682709447 118.817043740573 NA NA NA 118.817043740573 0 NA NA NA
"Che" 70.2815789473684 67.2899122807018 59.15 65.1482456140351 NA 66.0065789473684 66.8779213304755 86.2564059865144 69.7815789473684 72.7631578947368 NA 86.493137254902 NA NA 0 65.2807692307692 NA
"Rou" 72.1833333333333 67.6474358974359 62.1974358974359 64.8141025641026 NA 63.7807692307692 66.8448717948718 84.8938616938617 70.1807692307692 NA NA NA NA NA 65.2807692307692 0 NA
"Aux" 66.3353146853147 63.8045454545455 57.7545454545455 54.5666666666667 59.75 62.5160839160839 58.4853146853147 98.7801864801865 69.5712121212121 NA NA NA NA NA NA NA 0
