"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.0239466505001516 0.0236435283419218 0.0266747499242195 0.0278872385571385 0.0281903607153683 0.0330403152470446 0.0245528948166111 0.0660806304940891 0.0618369202788724
"Ger1" 0.0239466505001516 0 0.0193998181267051 0.0227341618672325 0.0248560169748409 0.0245528948166111 0.0306153379812064 0.0215216732343134 0.0651712640193998 0.0551682327978175
"Ger2" 0.0236435283419218 0.0193998181267051 0 0.023340406183692 0.0245528948166111 0.0254622612913004 0.031221582297666 0.0215216732343134 0.0660806304940891 0.0551682327978175
"Dij" 0.0266747499242195 0.0227341618672325 0.023340406183692 0 0.022127917550773 0.0230372840254623 0.0306153379812064 0.0200060624431646 0.0624431645953319 0.0488026674749924
"Arne" 0.0278872385571385 0.0248560169748409 0.0245528948166111 0.022127917550773 0 0.0218247953925432 0.0269778720824492 0.0215216732343134 0.0651712640193998 0.045468323734465
"Nev" 0.0281903607153683 0.0245528948166111 0.0254622612913004 0.0230372840254623 0.0218247953925432 0 0.0309184601394362 0.022127917550773 0.0588056986965747 0.0445589572597757
"Gai" 0.0330403152470446 0.0306153379812064 0.031221582297666 0.0306153379812064 0.0269778720824492 0.0309184601394362 0 0.0281903607153683 0.0706274628675356 0.0481964231585329
"MCa" 0.0245528948166111 0.0215216732343134 0.0215216732343134 0.0200060624431646 0.0215216732343134 0.022127917550773 0.0281903607153683 0 0.0618369202788724 0.049408911791452
"Rome3" 0.0660806304940891 0.0651712640193998 0.0660806304940891 0.0624431645953319 0.0651712640193998 0.0588056986965747 0.0706274628675356 0.0618369202788724 0 0.108820854804486
"VimC" 0.0618369202788724 0.0551682327978175 0.0551682327978175 0.0488026674749924 0.045468323734465 0.0445589572597757 0.0481964231585329 0.049408911791452 0.108820854804486 0
