"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.0309184601394362 0.0306153379812064 0.0290997271900576 0.0327371930888148 0.0297059715065171 0.0330403152470446 0.0478933010003031 0.036374658987572 0.133676871779327
"Ger1" 0.0309184601394362 0 0.0260685056077599 0.0318278266141255 0.0345559260381934 0.0245528948166111 0.0212185510760837 0.0475901788420734 0.0381933919369506 0.149439224007275
"Dij" 0.0306153379812064 0.0260685056077599 0 0.0236435283419218 0.0236435283419218 0.0218247953925432 0.0190966959684753 0.0427402243103971 0.0254622612913004 0.146104880266748
"Arne" 0.0290997271900576 0.0318278266141255 0.0236435283419218 0 0.0248560169748409 0.0218247953925432 0.0266747499242195 0.0409214913610185 0.032434070930585 0.161260988178236
"Nev" 0.0327371930888148 0.0345559260381934 0.0236435283419218 0.0248560169748409 0 0.0275841163989088 0.0290997271900576 0.045468323734465 0.0263716277659897 0.154895422855411
"Che" 0.0297059715065171 0.0245528948166111 0.0218247953925432 0.0218247953925432 0.0275841163989088 0 0.0200060624431646 0.0436495907850864 0.0357684146711125 0.161260988178236
"Gai" 0.0330403152470446 0.0212185510760837 0.0190966959684753 0.0266747499242195 0.0290997271900576 0.0200060624431646 0 0.0451652015762352 0.0303122158229767 0.154289178538951
"MCa" 0.0478933010003031 0.0475901788420734 0.0427402243103971 0.0409214913610185 0.045468323734465 0.0436495907850864 0.0451652015762352 0 0.0384965140951804 0.129130039405881
"Rou" 0.036374658987572 0.0381933919369506 0.0254622612913004 0.032434070930585 0.0263716277659897 0.0357684146711125 0.0303122158229767 0.0384965140951804 0 0.140042437102152
"Rome3" 0.133676871779327 0.149439224007275 0.146104880266748 0.161260988178236 0.154895422855411 0.161260988178236 0.154289178538951 0.129130039405881 0.140042437102152 0
