"Aqu" "Dij" "Sens" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.0303122158229767 0.0239466505001516 0.027280994240679 0.0275841163989088 0.0369809033040315 0.0263716277659897 0.0336465595635041 0.98666262503789 0.121248863291907
"Dij" 0.0303122158229767 0 0.0193998181267051 0.018187329493786 0.0169748408608669 0.0281903607153683 0.0224310397090027 0.0209154289178539 0.976659593816308 0.107608366171567
"Sens" 0.0239466505001516 0.0193998181267051 0 0.0163685965444074 0.0178842073355562 0.0266747499242195 0.0239466505001516 0.0260685056077599 1 0.110942709912095
"Arne" 0.027280994240679 0.018187329493786 0.0163685965444074 0 0.0175810851773265 0.0251591391330706 0.023340406183692 0.0248560169748409 0.982418914822674 0.10366777811458
"Nev" 0.0275841163989088 0.0169748408608669 0.0178842073355562 0.0175810851773265 0 0.0266747499242195 0.0215216732343134 0.0236435283419218 0.984843892088512 0.105183388905729
"NIt" 0.0369809033040315 0.0281903607153683 0.0266747499242195 0.0251591391330706 0.0266747499242195 0 0.0327371930888148 0.0281903607153683 0.958472264322522 0.119430130342528
"Gai" 0.0263716277659897 0.0224310397090027 0.0239466505001516 0.023340406183692 0.0215216732343134 0.0327371930888148 0 0.0224310397090027 0.944528645043953 0.120945741133677
"MCa" 0.0336465595635041 0.0209154289178539 0.0260685056077599 0.0248560169748409 0.0236435283419218 0.0281903607153683 0.0224310397090027 0 0.929978781448924 0.112155198545014
"Rome3" 0.98666262503789 0.976659593816308 1 0.982418914822674 0.984843892088512 0.958472264322522 0.944528645043953 0.929978781448924 0 0.838739011821764
"VimA" 0.121248863291907 0.107608366171567 0.110942709912095 0.10366777811458 0.105183388905729 0.119430130342528 0.120945741133677 0.112155198545014 0.838739011821764 0
