"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.0187935738102455 0.0248560169748409 0.0242497726583813 0.0242497726583813 0.0275841163989088 0.0206123067596241 0.0269778720824492 0.10336465595635 0.0891179145195514
"Ger1" 0.0187935738102455 0 0.0248560169748409 0.0248560169748409 0.0251591391330706 0.0269778720824492 0.0209154289178539 0.0281903607153683 0.0966959684752955 0.0872991815701728
"Dij" 0.0248560169748409 0.0248560169748409 0 0.022127917550773 0.0284934828735981 0.0342528038799636 0.0203091846013944 0.0254622612913004 0.096089724158836 0.0827523491967263
"Sens" 0.0242497726583813 0.0248560169748409 0.022127917550773 0 0.0209154289178539 0.0297059715065171 0.0203091846013944 0.0315247044558957 0.110942709912095 0.0772961503485905
"Nev" 0.0242497726583813 0.0251591391330706 0.0284934828735981 0.0209154289178539 0 0.0303122158229767 0.0257653834495302 0.0284934828735981 0.10366777811458 0.0760836617156714
"Che" 0.0275841163989088 0.0269778720824492 0.0342528038799636 0.0297059715065171 0.0303122158229767 0 0.0269778720824492 0.0351621703546529 0.110033343437405 0.0854804486207942
"Gai" 0.0206123067596241 0.0209154289178539 0.0203091846013944 0.0203091846013944 0.0257653834495302 0.0269778720824492 0 0.0284934828735981 0.101849045165202 0.0803273719308882
"MCa" 0.0269778720824492 0.0281903607153683 0.0254622612913004 0.0315247044558957 0.0284934828735981 0.0351621703546529 0.0284934828735981 0 0.100636556532283 0.086996059411943
"Rome3" 0.10336465595635 0.0966959684752955 0.096089724158836 0.110942709912095 0.10366777811458 0.110033343437405 0.101849045165202 0.100636556532283 0 0.117611397393149
"VimA" 0.0891179145195514 0.0872991815701728 0.0827523491967263 0.0772961503485905 0.0760836617156714 0.0854804486207942 0.0803273719308882 0.086996059411943 0.117611397393149 0
