"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.0136404971203395 0.01303425280388 0.0112155198545014 0.0115186420127311 0.0178842073355562 0.0245528948166111 0.0175810851773265 0.0136404971203395 0.0612306759624128
"Ger1" 0.0136404971203395 0 0.0118217641709609 0.0115186420127311 0.0109123976962716 0.0178842073355562 0.023340406183692 0.0157623522279479 0.0136404971203395 0.0572900879054259
"Dij" 0.01303425280388 0.0118217641709609 0 0.0100030312215823 0.0100030312215823 0.0166717187026372 0.0212185510760837 0.0139436192785693 0.0109123976962716 0.0624431645953319
"Arne" 0.0112155198545014 0.0115186420127311 0.0100030312215823 0 0.00879054258866323 0.0154592300697181 0.0206123067596241 0.0148529857532586 0.0115186420127311 0.058502576538345
"Nev" 0.0115186420127311 0.0109123976962716 0.0100030312215823 0.00879054258866323 0 0.0145498635950288 0.0206123067596241 0.0148529857532586 0.0112155198545014 0.0581994543801152
"Aux" 0.0178842073355562 0.0178842073355562 0.0166717187026372 0.0154592300697181 0.0145498635950288 0 0.027280994240679 0.0251591391330706 0.0212185510760837 0.0666868748105486
"NIt" 0.0245528948166111 0.023340406183692 0.0212185510760837 0.0206123067596241 0.0206123067596241 0.027280994240679 0 0.0257653834495302 0.0227341618672325 0.0709305850257654
"Gai" 0.0175810851773265 0.0157623522279479 0.0139436192785693 0.0148529857532586 0.0148529857532586 0.0251591391330706 0.0257653834495302 0 0.0127311306456502 0.0669899969687784
"MCa" 0.0136404971203395 0.0136404971203395 0.0109123976962716 0.0115186420127311 0.0112155198545014 0.0212185510760837 0.0227341618672325 0.0127311306456502 0 0.0660806304940891
"Rome3" 0.0612306759624128 0.0572900879054259 0.0624431645953319 0.058502576538345 0.0581994543801152 0.0666868748105486 0.0709305850257654 0.0669899969687784 0.0660806304940891 0
