"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 50.1666666666667 49.6666666666667 52.2857142857143 67.5 56.2142857142857 58.5714285714286 469 43.9 49.3333333333333 162 192.333333333333 49.5 132 48.25 60 64.5
"Dij" 50.1666666666667 0 37.8 45.4166666666667 54.5 47.0833333333333 50.0833333333333 523.833333333333 43 45 NA 237.25 50 110.5 47.25 42 56
"Arne" 49.6666666666667 37.8 0 42.9166666666667 53.6666666666667 48.5833333333333 51.4166666666667 509 43.375 46.25 124 208 52 105 36 53.5 54
"Nev" 52.2857142857143 45.4166666666667 42.9166666666667 0 52.3333333333333 51.9285714285714 52.7857142857143 467.357142857143 47.8 45.8333333333333 119.5 178 51.5 103.5 48.75 43.5 35.5
"NIt" 67.5 54.5 53.6666666666667 52.3333333333333 0 65.5 55.5 855.5 70.5 66.5 NA 355 NA NA NA NA 59
"Gai" 56.2142857142857 47.0833333333333 48.5833333333333 51.9285714285714 65.5 0 52.0714285714286 459.642857142857 45.7 46.5 117.5 190.5 61 109.5 39.75 50 70
"MCa" 58.5714285714286 50.0833333333333 51.4166666666667 52.7857142857143 55.5 52.0714285714286 0 443.714285714286 52.7 53.3333333333333 121 186.666666666667 60 111.5 66 63.5 48
"Rome3" 469 523.833333333333 509 467.357142857143 855.5 459.642857142857 443.714285714286 0 172.5 843.666666666667 59.5 771.666666666667 136 198.5 233.25 231 204
"Ger1" 43.9 43 43.375 47.8 70.5 45.7 52.7 172.5 0 44.75 120 112.25 41.5 121 43.75 63 61.5
"Sens" 49.3333333333333 45 46.25 45.8333333333333 66.5 46.5 53.3333333333333 843.666666666667 44.75 0 124.5 183.333333333333 NA NA 51 NA NA
"Rome2" 162 NA 124 119.5 NA 117.5 121 59.5 120 124.5 0 93.5 NA NA NA NA NA
"VimA" 192.333333333333 237.25 208 178 355 190.5 186.666666666667 771.666666666667 112.25 183.333333333333 93.5 0 NA NA 143 NA NA
"Ger2" 49.5 50 52 51.5 NA 61 60 136 41.5 NA NA NA 0 121 NA NA NA
"VimC" 132 110.5 105 103.5 NA 109.5 111.5 198.5 121 NA NA NA 121 0 NA NA NA
"Che" 48.25 47.25 36 48.75 NA 39.75 66 233.25 43.75 51 NA 143 NA NA 0 59 NA
"Rou" 60 42 53.5 43.5 NA 50 63.5 231 63 NA NA NA NA NA 59 0 NA
"Aux" 64.5 56 54 35.5 59 70 48 204 61.5 NA NA NA NA NA NA NA 0
