"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 46.75 49.25 53.5 76 54.5 51 198 45.5 42 162 148.5 49.5 132 48.25 60 64.5
"Dij" 46.75 0 39 46.75 64 47.5 49.5 205.5 43.25 45 NA 237.25 50 110.5 47.25 42 56
"Arne" 49.25 39 0 41 61.5 49.75 52.5 200.5 45.5 46.25 124 208 52 105 36 53.5 54
"Nev" 53.5 46.75 41 0 47.5 48 49 190 49.5 36.5 119.5 127.5 51.5 103.5 48.75 43.5 35.5
"NIt" 76 64 61.5 47.5 0 72 52 217.5 70.5 66.5 NA 355 NA NA NA NA 59
"Gai" 54.5 47.5 49.75 48 72 0 49.5 192 37 42.5 117.5 134.5 61 109.5 39.75 50 70
"MCa" 51 49.5 52.5 49 52 49.5 0 188 49 54 121 145.5 60 111.5 66 63.5 48
"Rome3" 198 205.5 200.5 190 217.5 192 188 0 178.5 202 59.5 212.5 136 198.5 233.25 231 204
"Ger1" 45.5 43.25 45.5 49.5 70.5 37 49 178.5 0 44.75 120 112.25 41.5 121 43.75 63 61.5
"Sens" 42 45 46.25 36.5 66.5 42.5 54 202 44.75 0 124.5 129.5 NA NA 51 NA NA
"Rome2" 162 NA 124 119.5 NA 117.5 121 59.5 120 124.5 0 93.5 NA NA NA NA NA
"VimA" 148.5 237.25 208 127.5 355 134.5 145.5 212.5 112.25 129.5 93.5 0 NA NA 143 NA NA
"Ger2" 49.5 50 52 51.5 NA 61 60 136 41.5 NA NA NA 0 121 NA NA NA
"VimC" 132 110.5 105 103.5 NA 109.5 111.5 198.5 121 NA NA NA 121 0 NA NA NA
"Che" 48.25 47.25 36 48.75 NA 39.75 66 233.25 43.75 51 NA 143 NA NA 0 59 NA
"Rou" 60 42 53.5 43.5 NA 50 63.5 231 63 NA NA NA NA NA 59 0 NA
"Aux" 64.5 56 54 35.5 59 70 48 204 61.5 NA NA NA NA NA NA NA 0
