"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.0879888268156425 0.0921787709497207 0.0963687150837989 0.0963687150837989 0.0963687150837989 0.0893854748603352 0.181564245810056 0.166201117318436 0.150837988826816
"Ger1" 0.0879888268156425 0 0.0949720670391061 0.0782122905027933 0.0935754189944134 0.0782122905027933 0.0768156424581006 0.162011173184358 0.152234636871508 0.152234636871508
"Sens" 0.0921787709497207 0.0949720670391061 0 0.0921787709497207 0.0865921787709497 0.0879888268156425 0.0893854748603352 0.166201117318436 0.156424581005587 0.149441340782123
"Arne" 0.0963687150837989 0.0782122905027933 0.0921787709497207 0 0.0907821229050279 0.0754189944134078 0.0824022346368715 0.162011173184358 0.157821229050279 0.156424581005587
"Nev" 0.0963687150837989 0.0935754189944134 0.0865921787709497 0.0907821229050279 0 0.0865921787709497 0.0879888268156425 0.16340782122905 0.156424581005587 0.146648044692737
"Gai" 0.0963687150837989 0.0782122905027933 0.0879888268156425 0.0754189944134078 0.0865921787709497 0 0.0768156424581006 0.157821229050279 0.153631284916201 0.153631284916201
"MCa" 0.0893854748603352 0.0768156424581006 0.0893854748603352 0.0824022346368715 0.0879888268156425 0.0768156424581006 0 0.162011173184358 0.146648044692737 0.150837988826816
"Rome2" 0.181564245810056 0.162011173184358 0.166201117318436 0.162011173184358 0.16340782122905 0.157821229050279 0.162011173184358 0 0.0824022346368715 0.16340782122905
"Rome3" 0.166201117318436 0.152234636871508 0.156424581005587 0.157821229050279 0.156424581005587 0.153631284916201 0.146648044692737 0.0824022346368715 0 0.167597765363128
"VimA" 0.150837988826816 0.152234636871508 0.149441340782123 0.156424581005587 0.146648044692737 0.153631284916201 0.150837988826816 0.16340782122905 0.167597765363128 0
