"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.128491620111732 0.127094972067039 0.136871508379888 0.134078212290503 0.135474860335196 0.138268156424581 0.153631284916201 0.230446927374302 0.217877094972067
"Ger1" 0.128491620111732 0 0.115921787709497 0.131284916201117 0.129888268156425 0.128491620111732 0.136871508379888 0.14804469273743 0.224860335195531 0.212290502793296
"Ger2" 0.127094972067039 0.115921787709497 0 0.131284916201117 0.128491620111732 0.129888268156425 0.136871508379888 0.14804469273743 0.226256983240223 0.212290502793296
"Dij" 0.136871508379888 0.131284916201117 0.131284916201117 0 0.121508379888268 0.128491620111732 0.138268156424581 0.143854748603352 0.231843575418994 0.208100558659218
"Arne" 0.134078212290503 0.129888268156425 0.128491620111732 0.121508379888268 0 0.122905027932961 0.127094972067039 0.14804469273743 0.230446927374302 0.198324022346369
"Nev" 0.135474860335196 0.128491620111732 0.129888268156425 0.128491620111732 0.122905027932961 0 0.131284916201117 0.14804469273743 0.220670391061453 0.196927374301676
"Gai" 0.138268156424581 0.136871508379888 0.136871508379888 0.138268156424581 0.127094972067039 0.131284916201117 0 0.153631284916201 0.230446927374302 0.202513966480447
"MCa" 0.153631284916201 0.14804469273743 0.14804469273743 0.143854748603352 0.14804469273743 0.14804469273743 0.153631284916201 0 0.226256983240223 0.208100558659218
"Rome3" 0.230446927374302 0.224860335195531 0.226256983240223 0.231843575418994 0.230446927374302 0.220670391061453 0.230446927374302 0.226256983240223 0 0.258379888268156
"VimC" 0.217877094972067 0.212290502793296 0.212290502793296 0.208100558659218 0.198324022346369 0.196927374301676 0.202513966480447 0.208100558659218 0.258379888268156 0
