"Aqu" "Dij" "Sens" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.184357541899441 0.167597765363128 0.175977653631285 0.198324022346369 0.195530726256983 0.181564245810056 0.195530726256983 0.979050279329609 0.420391061452514
"Dij" 0.184357541899441 0 0.138268156424581 0.136871508379888 0.157821229050279 0.164804469273743 0.150837988826816 0.145251396648045 0.990223463687151 0.410614525139665
"Sens" 0.167597765363128 0.138268156424581 0 0.13268156424581 0.159217877094972 0.155027932960894 0.157821229050279 0.162011173184358 1 0.41340782122905
"Arne" 0.175977653631285 0.136871508379888 0.13268156424581 0 0.162011173184358 0.159217877094972 0.159217877094972 0.162011173184358 0.966480446927374 0.410614525139665
"Nev" 0.198324022346369 0.157821229050279 0.159217877094972 0.162011173184358 0 0.182960893854749 0.174581005586592 0.177374301675978 0.987430167597765 0.407821229050279
"NIt" 0.195530726256983 0.164804469273743 0.155027932960894 0.159217877094972 0.182960893854749 0 0.180167597765363 0.171787709497207 0.974860335195531 0.424581005586592
"Gai" 0.181564245810056 0.150837988826816 0.157821229050279 0.159217877094972 0.174581005586592 0.180167597765363 0 0.145251396648045 0.972067039106145 0.416201117318436
"MCa" 0.195530726256983 0.145251396648045 0.162011173184358 0.162011173184358 0.177374301675978 0.171787709497207 0.145251396648045 0 0.967877094972067 0.414804469273743
"Rome3" 0.979050279329609 0.990223463687151 1 0.966480446927374 0.987430167597765 0.974860335195531 0.972067039106145 0.967877094972067 0 0.942737430167598
"VimA" 0.420391061452514 0.410614525139665 0.41340782122905 0.410614525139665 0.407821229050279 0.424581005586592 0.416201117318436 0.414804469273743 0.942737430167598 0
