"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.0921787709497207 0.106145251396648 0.103351955307263 0.103351955307263 0.10195530726257 0.0977653631284916 0.104748603351955 0.217877094972067 0.194134078212291
"Ger1" 0.0921787709497207 0 0.107541899441341 0.107541899441341 0.106145251396648 0.100558659217877 0.100558659217877 0.108938547486034 0.213687150837989 0.195530726256983
"Dij" 0.106145251396648 0.107541899441341 0 0.0907821229050279 0.103351955307263 0.107541899441341 0.0935754189944134 0.100558659217877 0.213687150837989 0.196927374301676
"Sens" 0.103351955307263 0.107541899441341 0.0907821229050279 0 0.0935754189944134 0.103351955307263 0.0935754189944134 0.100558659217877 0.226256983240223 0.18854748603352
"Nev" 0.103351955307263 0.106145251396648 0.103351955307263 0.0935754189944134 0 0.103351955307263 0.10195530726257 0.0949720670391061 0.217877094972067 0.182960893854749
"Che" 0.10195530726257 0.100558659217877 0.107541899441341 0.103351955307263 0.103351955307263 0 0.0991620111731844 0.108938547486034 0.227653631284916 0.192737430167598
"Gai" 0.0977653631284916 0.100558659217877 0.0935754189944134 0.0935754189944134 0.10195530726257 0.0991620111731844 0 0.100558659217877 0.220670391061453 0.18854748603352
"MCa" 0.104748603351955 0.108938547486034 0.100558659217877 0.100558659217877 0.0949720670391061 0.108938547486034 0.100558659217877 0 0.212290502793296 0.191340782122905
"Rome3" 0.217877094972067 0.213687150837989 0.213687150837989 0.226256983240223 0.217877094972067 0.227653631284916 0.220670391061453 0.212290502793296 0 0.236033519553073
"VimA" 0.194134078212291 0.195530726256983 0.196927374301676 0.18854748603352 0.182960893854749 0.192737430167598 0.18854748603352 0.191340782122905 0.236033519553073 0
