"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 85.3333333333333 80.3333333333333 84 97.6666666666667 87.2857142857143 90.2857142857143 234 75 86.6666666666667 130 182.666666666667 91 156 75.5 90 85
"Dij" 85.3333333333333 0 70 75.1666666666667 83.6666666666667 77.5 80.1666666666667 254 78 82 NA 217.5 94 149 69.5 68 76
"Arne" 80.3333333333333 70 0 71.5 81.3333333333333 77.1666666666667 81.8333333333333 244.333333333333 73.75 80.5 116 203 92 142 56 69 70
"Nev" 84 75.1666666666667 71.5 0 82.6666666666667 79.5714285714286 81.5714285714286 231.857142857143 76.8 81 117 176 93 141 67.5 67 57
"NIt" 97.6666666666667 83.6666666666667 81.3333333333333 82.6666666666667 0 97 91 347.666666666667 95 111 NA 304 NA NA NA NA 84
"Gai" 87.2857142857143 77.5 77.1666666666667 79.5714285714286 97 0 77.2857142857143 233 75.4 81 113 181 98 145 64.5 66 84
"MCa" 90.2857142857143 80.1666666666667 81.8333333333333 81.5714285714286 91 77.2857142857143 0 226.571428571429 82.2 84 116 180.666666666667 106 149 79 79 70
"Rome3" 234 254 244.333333333333 231.857142857143 347.666666666667 233 226.571428571429 0 153.4 330 59 321.333333333333 162 185 167.5 156 182
"Ger1" 75 78 73.75 76.8 95 75.4 82.2 153.4 0 72.5 116 124.5 83 152 69.5 82 83
"Sens" 86.6666666666667 82 80.5 81 111 81 84 330 72.5 0 119 179.333333333333 NA NA 74 NA NA
"Rome2" 130 NA 116 117 NA 113 116 59 116 119 0 117 NA NA NA NA NA
"VimA" 182.666666666667 217.5 203 176 304 181 180.666666666667 321.333333333333 124.5 179.333333333333 117 0 NA NA 138 NA NA
"Ger2" 91 94 92 93 NA 98 106 162 83 NA NA NA 0 152 NA NA NA
"VimC" 156 149 142 141 NA 145 149 185 152 NA NA NA 152 0 NA NA NA
"Che" 75.5 69.5 56 67.5 NA 64.5 79 167.5 69.5 74 NA 138 NA NA 0 76 NA
"Rou" 90 68 69 67 NA 66 79 156 82 NA NA NA NA NA 76 0 NA
"Aux" 85 76 70 57 84 84 70 182 83 NA NA NA NA NA NA NA 0
