"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 77.5 73.5 77 98 83 82 165 74 74 130 139 91 156 75.5 90 85
"Dij" 77.5 0 64 70.5 86 71.5 77.5 165 74 82 NA 217.5 94 149 69.5 68 76
"Arne" 73.5 64 0 62.5 81 72 74.5 168.5 73 80.5 116 203 92 142 56 69 70
"Nev" 77 70.5 62.5 0 75 73 68 158 76 67 117 131 93 141 67.5 67 57
"NIt" 98 86 81 75 0 94 84 196 95 111 NA 304 NA NA NA NA 84
"Gai" 83 71.5 72 73 94 0 72 165 72 67 113 135 98 145 64.5 66 84
"MCa" 82 77.5 74.5 68 84 72 0 152 81 72 116 137 106 149 79 79 70
"Rome3" 165 165 168.5 158 196 165 152 0 161 162 59 169 162 185 167.5 156 182
"Ger1" 74 74 73 76 95 72 81 161 0 72.5 116 124.5 83 152 69.5 82 83
"Sens" 74 82 80.5 67 111 67 72 162 72.5 0 119 135 NA NA 74 NA NA
"Rome2" 130 NA 116 117 NA 113 116 59 116 119 0 117 NA NA NA NA NA
"VimA" 139 217.5 203 131 304 135 137 169 124.5 135 117 0 NA NA 138 NA NA
"Ger2" 91 94 92 93 NA 98 106 162 83 NA NA NA 0 152 NA NA NA
"VimC" 156 149 142 141 NA 145 149 185 152 NA NA NA 152 0 NA NA NA
"Che" 75.5 69.5 56 67.5 NA 64.5 79 167.5 69.5 74 NA 138 NA NA 0 76 NA
"Rou" 90 68 69 67 NA 66 79 156 82 NA NA NA NA NA 76 0 NA
"Aux" 85 76 70 57 84 84 70 182 83 NA NA NA NA NA NA NA 0
