"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.044872778276973 0.0364899515658901 0.0498038528129041 0.0409279186482281 0.0488176379057178 0.0443796708233798 0.159766814964167 0.145466698809967 0.0739661180389664
"Ger1" 0.044872778276973 0 0.0453658857305661 0.0295864472155866 0.0379692739266694 0.0286002323084004 0.0281071248548072 0.118345788862346 0.107990532336891 0.077417870214118
"Sens" 0.0364899515658901 0.0453658857305661 0 0.0443796708233798 0.0335313068443315 0.0419141335554143 0.0424072410090074 0.122783755944684 0.112428499419229 0.0784040851213044
"Arne" 0.0498038528129041 0.0295864472155866 0.0443796708233798 0 0.0369830590194832 0.0276140174012141 0.0320519844835521 0.122290648491091 0.115880251594381 0.0848144820180149
"Nev" 0.0409279186482281 0.0379692739266694 0.0335313068443315 0.0369830590194832 0 0.0345175217515177 0.0350106292051108 0.117852681408753 0.10946985469767 0.0715005807710007
"Gai" 0.0488176379057178 0.0286002323084004 0.0419141335554143 0.0276140174012141 0.0345175217515177 0 0.0290933397619934 0.115880251594381 0.10946985469767 0.0828420522036424
"MCa" 0.0443796708233798 0.0281071248548072 0.0424072410090074 0.0320519844835521 0.0350106292051108 0.0290933397619934 0 0.119332003769533 0.105031887615332 0.0749523329461528
"Rome2" 0.159766814964167 0.118345788862346 0.122783755944684 0.122290648491091 0.117852681408753 0.115880251594381 0.119332003769533 0 0.0586797869775799 0.0922110938219112
"Rome3" 0.145466698809967 0.107990532336891 0.112428499419229 0.115880251594381 0.10946985469767 0.10946985469767 0.105031887615332 0.0586797869775799 0 0.0927042012755045
"VimA" 0.0739661180389664 0.077417870214118 0.0784040851213044 0.0848144820180149 0.0715005807710007 0.0828420522036424 0.0749523329461528 0.0922110938219112 0.0927042012755045 0
