"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.0428147678301587 0.0423950152043729 0.0402962520754435 0.0453332835848739 0.0411357573270153 0.0457530362106598 0.0663209148741673 0.0503703150943044 0.185110907971568
"Ger1" 0.0428147678301587 0 0.0360987258175848 0.0440740257075163 0.0478517993395891 0.0339999626886555 0.0293826838050109 0.0659011622483813 0.0528888308490198 0.206938044512434
"Dij" 0.0423950152043729 0.0360987258175848 0 0.0327407048112979 0.0327407048112979 0.0302221890565827 0.0264444154245098 0.0591851202358078 0.0352592205660131 0.20232076562879
"Arne" 0.0402962520754435 0.0440740257075163 0.0327407048112979 0 0.0344197153144413 0.0302221890565827 0.0369382310691565 0.0566666044810923 0.0449135309590881 0.223308396918083
"Nev" 0.0453332835848739 0.0478517993395891 0.0327407048112979 0.0344197153144413 0 0.0381974889465142 0.0402962520754435 0.0629628938678803 0.0365184784433707 0.21449359177658
"Che" 0.0411357573270153 0.0339999626886555 0.0302221890565827 0.0302221890565827 0.0381974889465142 0 0.0277036733018674 0.0604443781131653 0.0495308098427327 0.223308396918083
"Gai" 0.0457530362106598 0.0293826838050109 0.0264444154245098 0.0369382310691565 0.0402962520754435 0.0277036733018674 0 0.0625431412420948 0.041975262578587 0.213654086525008
"MCa" 0.0663209148741673 0.0659011622483813 0.0591851202358078 0.0566666044810923 0.0629628938678803 0.0604443781131653 0.0625431412420948 0 0.0533085834748053 0.17881461858478
"Rou" 0.0503703150943044 0.0528888308490198 0.0352592205660131 0.0449135309590881 0.0365184784433707 0.0495308098427327 0.041975262578587 0.0533085834748053 0 0.193925713113072
"Rome3" 0.185110907971568 0.206938044512434 0.20232076562879 0.223308396918083 0.21449359177658 0.223308396918083 0.213654086525008 0.17881461858478 0.193925713113072 0
