"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.0259856160428369 0.0338600451467269 0.0330726022363378 0.0330726022363378 0.0374035382434773 0.0283479447740039 0.0366160953330883 0.14882671006352 0.116935272192766
"Ger1" 0.0259856160428369 0 0.0342537666019214 0.0342537666019214 0.0346474880571158 0.0370098167882828 0.0291353876843929 0.0385847026090608 0.140558559504436 0.114966664916794
"Dij" 0.0338600451467269 0.0342537666019214 0 0.0303165520499764 0.0385847026090608 0.0460654102577563 0.0279542233188094 0.0346474880571158 0.139771116594047 0.109060843088876
"Sens" 0.0330726022363378 0.0342537666019214 0.0303165520499764 0 0.0287416662291984 0.0401595884298388 0.0279542233188094 0.0425219171610058 0.159063467898577 0.101973856895375
"Nev" 0.0330726022363378 0.0346474880571158 0.0385847026090608 0.0287416662291984 0 0.0409470313402278 0.0350412095123103 0.0385847026090608 0.149614152973909 0.100398971074597
"Che" 0.0374035382434773 0.0370098167882828 0.0460654102577563 0.0401595884298388 0.0409470313402278 0 0.0366160953330883 0.0472465746233398 0.157882303532994 0.112604336185626
"Gai" 0.0283479447740039 0.0291353876843929 0.0279542233188094 0.0279542233188094 0.0350412095123103 0.0366160953330883 0 0.0385847026090608 0.147251824242742 0.10591107144732
"MCa" 0.0366160953330883 0.0385847026090608 0.0346474880571158 0.0425219171610058 0.0385847026090608 0.0472465746233398 0.0385847026090608 0 0.145676938421965 0.114572943461599
"Rome3" 0.14882671006352 0.140558559504436 0.139771116594047 0.159063467898577 0.149614152973909 0.157882303532994 0.147251824242742 0.145676938421965 0 0.167331618457662
"VimA" 0.116935272192766 0.114966664916794 0.109060843088876 0.101973856895375 0.100398971074597 0.112604336185626 0.10591107144732 0.114572943461599 0.167331618457662 0
