"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 0.688888888888889 0.710691823899371 0.710691823899371 0.791666666666667 0.811320754716981 0.755555555555556 2.93023255813953 0.628930817610063 0.651162790697674 3.14563106796116 2.30232558139535 0.622641509433962 1.66037735849057 0.773175731949516 0.991735537190083 0.671875
"Dij" 0.688888888888889 0 0.453333333333333 0.603731656184486 0.622222222222222 0.556443798449612 0.626799557032115 3.36257613510521 0.645385402954512 0.52733850129199 NA 2.56697674418605 0.628930817610063 1.38993710691824 0.751009033250048 0.694214876033058 0.583333333333333
"Arne" 0.710691823899371 0.453333333333333 0 0.597819706498952 0.598214285714286 0.671973270440252 0.677141123439667 3.00238384188627 0.621450815167613 0.648004314994606 2.40776699029126 2.30161812297735 0.654088050314465 1.32075471698113 0.59504132231405 0.884297520661157 0.5625
"Nev" 0.710691823899371 0.603731656184486 0.597819706498952 0 0.494791666666667 0.689922480620155 0.723214285714286 2.94573643410853 0.682170542635659 0.595555555555556 2.32038834951456 1.97674418604651 0.647798742138365 1.30188679245283 0.779133833045038 0.71900826446281 0.369791666666667
"NIt" 0.791666666666667 0.622222222222222 0.598214285714286 0.494791666666667 0 0.75 0.617777777777778 3.88392857142857 0.734375 0.591111111111111 NA 3.15555555555556 NA NA NA NA 0.614583333333333
"Gai" 0.811320754716981 0.556443798449612 0.671973270440252 0.689922480620155 0.75 0 0.589285714285714 2.89922480620155 0.578512396694215 0.550387596899225 2.28155339805825 2.08527131782946 0.767295597484277 1.37735849056604 0.633192389006342 0.826446280991736 0.729166666666667
"MCa" 0.755555555555556 0.626799557032115 0.677141123439667 0.723214285714286 0.617777777777778 0.589285714285714 0 2.86821705426357 0.754716981132076 0.83495145631068 2.3495145631068 2.25581395348837 0.754716981132076 1.40251572327044 1.06015760138382 1.0495867768595 0.5
"Rome3" 2.93023255813953 3.36257613510521 3.00238384188627 2.94573643410853 3.88392857142857 2.89922480620155 2.86821705426357 0 2.12621359223301 3.13178294573643 1.15533980582524 3.29457364341085 1.71069182389937 2.49685534591195 3.75261067332949 3.81818181818182 2.125
"Ger1" 0.628930817610063 0.645385402954512 0.621450815167613 0.682170542635659 0.734375 0.578512396694215 0.754716981132076 2.12621359223301 0 0.783811244073154 2.33009708737864 1.89391886806653 0.522012578616352 1.52201257861635 0.699051829072971 1.04132231404959 0.640625
"Sens" 0.651162790697674 0.52733850129199 0.648004314994606 0.595555555555556 0.591111111111111 0.550387596899225 0.83495145631068 3.13178294573643 0.783811244073154 0 2.41747572815534 2.0077519379845 NA NA 0.790697674418605 NA NA
"Rome2" 3.14563106796116 NA 2.40776699029126 2.32038834951456 NA 2.28155339805825 2.3495145631068 1.15533980582524 2.33009708737864 2.41747572815534 0 1.81553398058252 NA NA NA NA NA
"VimA" 2.30232558139535 2.56697674418605 2.30161812297735 1.97674418604651 3.15555555555556 2.08527131782946 2.25581395348837 3.29457364341085 1.89391886806653 2.0077519379845 1.81553398058252 0 NA NA 2.21705426356589 NA NA
"Ger2" 0.622641509433962 0.628930817610063 0.654088050314465 0.647798742138365 NA 0.767295597484277 0.754716981132076 1.71069182389937 0.522012578616352 NA NA NA 0 1.52201257861635 NA NA NA
"VimC" 1.66037735849057 1.38993710691824 1.32075471698113 1.30188679245283 NA 1.37735849056604 1.40251572327044 2.49685534591195 1.52201257861635 NA NA NA 1.52201257861635 0 NA NA NA
"Che" 0.773175731949516 0.751009033250048 0.59504132231405 0.779133833045038 NA 0.633192389006342 1.06015760138382 3.75261067332949 0.699051829072971 0.790697674418605 NA 2.21705426356589 NA NA 0 0.975206611570248 NA
"Rou" 0.991735537190083 0.694214876033058 0.884297520661157 0.71900826446281 NA 0.826446280991736 1.0495867768595 3.81818181818182 1.04132231404959 NA NA NA NA NA 0.975206611570248 0 NA
"Aux" 0.671875 0.583333333333333 0.5625 0.369791666666667 0.614583333333333 0.729166666666667 0.5 2.125 0.640625 NA NA NA NA NA NA NA 0
