"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 1 0.926263898260595 0.967589355497282 0.913136543858215 0.951701116168369 0.912006846100733 0.927046997619689 0.449024965704382 0.499700869408653 0.637623029572986
"Ger1" 0.926263898260595 1 0.931314870382646 0.984400697802645 0.961348074218611 0.986299401891077 0.986805923012762 0.575871068596262 0.615052025014797 0.597481951729971
"Sens" 0.967589355497282 0.931314870382646 1 0.936111288135284 0.979683871691622 0.94261678063075 0.942432218201216 0.576111656508409 0.617003577407141 0.584432871958933
"Arne" 0.913136543858215 0.984400697802645 0.936111288135284 1 0.966698681434822 0.990270508154892 0.975542028192283 0.597250373862848 0.618317407909621 0.567196177787809
"Nev" 0.951701116168369 0.961348074218611 0.979683871691622 0.966698681434822 1 0.974050962553296 0.973091751428333 0.588699812502927 0.619869925639416 0.627942582339801
"Gai" 0.912006846100733 0.986299401891077 0.94261678063075 0.990270508154892 0.974050962553296 1 0.983905709587284 0.600300266649436 0.621706564627152 0.546154256254874
"MCa" 0.927046997619689 0.986805923012762 0.942432218201216 0.975542028192283 0.973091751428333 0.983905709587284 1 0.563181090594549 0.62219292022866 0.613187268611775
"Rome2" 0.449024965704382 0.575871068596262 0.576111656508409 0.597250373862848 0.588699812502927 0.600300266649436 0.563181090594549 1 0.848753765116535 0.448908084513083
"Rome3" 0.499700869408653 0.615052025014797 0.617003577407141 0.618317407909621 0.619869925639416 0.621706564627152 0.62219292022866 0.848753765116535 1 0.405656043412882
"VimA" 0.637623029572986 0.597481951729971 0.584432871958933 0.567196177787809 0.627942582339801 0.546154256254874 0.613187268611775 0.448908084513083 0.405656043412882 1
