"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 1 0.989677000981574 0.989698628284169 0.979213280993525 0.976702567066004 0.980286139145572 0.969891024780467 0.972080764319913 0.853521906568918 0.847508484471863
"Ger1" 0.989677000981574 1 1 0.992446011566484 0.987097303105865 0.990001837919591 0.977255704453118 0.98011752502672 0.860368975922563 0.869358432724334
"Ger2" 0.989698628284169 1 1 0.989655562403482 0.98697312668545 0.98662665817382 0.97498422883852 0.98011752502672 0.858997498296635 0.869358432724334
"Dij" 0.979213280993525 0.992446011566484 0.989655562403482 1 0.993982336154336 0.989547504381322 0.973454648256366 0.980256903814821 0.843519969580643 0.882084737180224
"Arne" 0.976702567066004 0.987097303105865 0.98697312668545 0.993982336154336 1 0.991266931344966 0.979021747368025 0.976385645354375 0.842817534392779 0.888887913808744
"Nev" 0.980286139145572 0.990001837919591 0.98662665817382 0.989547504381322 0.991266931344966 1 0.974483708274431 0.976970523833326 0.861529846858817 0.892729897392934
"Gai" 0.969891024780467 0.977255704453118 0.97498422883852 0.973454648256366 0.979021747368025 0.974483708274431 1 0.963682568996153 0.831287278783555 0.880975803392536
"MCa" 0.972080764319913 0.98011752502672 0.98011752502672 0.980256903814821 0.976385645354375 0.976970523833326 0.963682568996153 1 0.868184411373357 0.889853358585638
"Rome3" 0.853521906568918 0.860368975922563 0.858997498296635 0.843519969580643 0.842817534392779 0.861529846858817 0.831287278783555 0.868184411373357 1 0.726476817298244
"VimC" 0.847508484471863 0.869358432724334 0.869358432724334 0.882084737180224 0.888887913808744 0.892729897392934 0.880975803392536 0.889853358585638 0.726476817298244 1
