"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 1 0.963580204207919 0.9640321203578 0.967049991134641 0.95860408536392 0.965825469881478 0.959072009178046 0.926511054860431 0.943356356638548 0.727649458264166
"Ger1" 0.963580204207919 1 0.975211701562205 0.961943623203818 0.95518478060396 0.978603947467908 0.986949172626859 0.926315604364353 0.938452699657262 0.696266671361677
"Dij" 0.9640321203578 0.975211701562205 1 0.979476456533161 0.978655510412671 0.984415355220884 0.990840718220661 0.935199254290455 0.973211427000126 0.697238039522328
"Arne" 0.967049991134641 0.961943623203818 0.979476456533161 1 0.975573486957272 0.982974164739882 0.973093481258492 0.943844593220351 0.955028689094043 0.699268686518193
"Nev" 0.95860408536392 0.95518478060396 0.978655510412671 0.975573486957272 1 0.970639542005475 0.968256170197391 0.930222669774804 0.970314706999078 0.687194791424128
"Che" 0.965825469881478 0.978603947467908 0.984415355220884 0.982974164739882 0.970639542005475 1 0.987609082594349 0.941657567144357 0.948676209523048 0.699538433765743
"Gai" 0.959072009178046 0.986949172626859 0.990840718220661 0.973093481258492 0.968256170197391 0.987609082594349 1 0.939163501460548 0.96297001431506 0.715968544392605
"MCa" 0.926511054860431 0.926315604364353 0.935199254290455 0.943844593220351 0.930222669774804 0.941657567144357 0.939163501460548 1 0.933063647228038 0.655645122488373
"Rou" 0.943356356638548 0.938452699657262 0.973211427000126 0.955028689094043 0.970314706999078 0.948676209523048 0.96297001431506 0.933063647228038 1 0.670857982826633
"Rome3" 0.727649458264166 0.696266671361677 0.697238039522328 0.699268686518193 0.687194791424128 0.699538433765743 0.715968544392605 0.655645122488373 0.670857982826633 1
