"Aqu" "Dij" "Sens" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 1 0.970583800959548 0.981757142544713 0.97633843089647 0.960100195402828 0.959998590473861 0.976473854275141 0.965174246091393 0.203747052487349 0.64533221728532
"Dij" 0.970583800959548 1 0.99431756829191 0.995360826277531 0.98045770755365 0.978444174713167 0.987061575675193 0.990560835524584 0.205235597138234 0.655647490252805
"Sens" 0.981757142544713 0.99431756829191 1 0.999100080789455 0.980736355922286 0.981990031470871 0.9871327765359 0.985477685148222 0.191565514973656 0.66749804560504
"Arne" 0.97633843089647 0.995360826277531 0.999100080789455 1 0.980300326662231 0.983045734350554 0.986785059981847 0.985883853847567 0.216925124712278 0.660267854574855
"Nev" 0.960100195402828 0.98045770755365 0.980736355922286 0.980300326662231 1 0.965836646847746 0.973535611126662 0.971665845345998 0.174727347052298 0.689155763574149
"NIt" 0.959998590473861 0.978444174713167 0.981990031470871 0.983045734350554 0.965836646847746 1 0.971241773815461 0.979602052209476 0.193947874716498 0.657197250381813
"Gai" 0.976473854275141 0.987061575675193 0.9871327765359 0.986785059981847 0.973535611126662 0.971241773815461 1 0.987175830063781 0.217089974653447 0.642421925698803
"MCa" 0.965174246091393 0.990560835524584 0.985477685148222 0.985883853847567 0.971665845345998 0.979602052209476 0.987175830063781 1 0.193831010006538 0.650607020785649
"Rome3" 0.203747052487349 0.205235597138234 0.191565514973656 0.216925124712278 0.174727347052298 0.193947874716498 0.217089974653447 0.193831010006538 1 0
"VimA" 0.64533221728532 0.655647490252805 0.66749804560504 0.660267854574855 0.689155763574149 0.657197250381813 0.642421925698803 0.650607020785649 0 1
