"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 1 0.999047997886477 0.989203042242186 0.990232640661848 0.990257640504592 0.985734762307093 0.995779232645296 0.985402844322207 0.796055295482246 0.889888786738636
"Ger1" 0.999047997886477 1 0.989683581174256 0.990229053002681 0.988909878995857 0.986670579926668 0.996051521106121 0.984124933781094 0.81137167254551 0.886517058180854
"Dij" 0.989203042242186 0.989683581174256 1 0.992229676916488 0.983217107162419 0.974670395983325 0.994974116717575 0.986647344803649 0.812596591210681 0.89438289371047
"Sens" 0.990232640661848 0.990229053002681 0.992229676916488 1 0.994978950243885 0.982203740633916 0.995436016289731 0.9785111030602 0.777359912414372 0.907234765097776
"Nev" 0.990257640504592 0.988909878995857 0.983217107162419 0.994978950243885 1 0.980770104830639 0.987029951485139 0.98274775560767 0.790494043512617 0.903320676595795
"Che" 0.985734762307093 0.986670579926668 0.974670395983325 0.982203740633916 0.980770104830639 1 0.985728609337272 0.973683173135914 0.797610053357109 0.891837800876456
"Gai" 0.995779232645296 0.996051521106121 0.994974116717575 0.995436016289731 0.987029951485139 0.985728609337272 1 0.98254703092669 0.797240937761384 0.898685282508195
"MCa" 0.985402844322207 0.984124933781094 0.986647344803649 0.9785111030602 0.98274775560767 0.973683173135914 0.98254703092669 1 0.804277725843362 0.890790129973052
"Rome3" 0.796055295482246 0.81137167254551 0.812596591210681 0.777359912414372 0.790494043512617 0.797610053357109 0.797240937761384 0.804277725843362 1 0.748277234953371
"VimA" 0.889888786738636 0.886517058180854 0.89438289371047 0.907234765097776 0.903320676595795 0.891837800876456 0.898685282508195 0.890790129973052 0.748277234953371 1
