"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 75.5 76.25 75.9166666666667 78.25 75.75 75 88.5833333333333 85.4166666666667 90.4166666666667
"Ger1" 75.5 0 76.75 74.4166666666667 77.75 74.25 74.5 88.1666666666667 86 90.6666666666667
"Sens" 76.25 76.75 0 74.6666666666667 74 73.5 74.25 87.0833333333333 84.4166666666667 88.9166666666667
"Arne" 75.9166666666667 74.4166666666667 74.6666666666667 0 75.6666666666667 72.1666666666667 73.9166666666667 87.0666666666667 85.4 90.3333333333333
"Nev" 78.25 77.75 74 75.6666666666667 0 74.5 75.25 87.9166666666667 85.75 90.5
"Gai" 75.75 74.25 73.5 72.1666666666667 74.5 0 71.75 85.9166666666667 84.25 90.1666666666667
"MCa" 75 74.5 74.25 73.9166666666667 75.25 71.75 0 86.6666666666667 83.5 90.1666666666667
"Rome2" 88.5833333333333 88.1666666666667 87.0833333333333 87.0666666666667 87.9166666666667 85.9166666666667 86.6666666666667 0 52.9166666666667 91.9166666666667
"Rome3" 85.4166666666667 86 84.4166666666667 85.4 85.75 84.25 83.5 52.9166666666667 0 92.8333333333333
"VimA" 90.4166666666667 90.6666666666667 88.9166666666667 90.3333333333333 90.5 90.1666666666667 90.1666666666667 91.9166666666667 92.8333333333333 0
