"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 96.3833333333333 95.3833333333333 93.0598039215686 91.493137254902 92.8333333333333 91.55 99.5264705882353 107.351684263449 117.567043740573
"Ger1" 96.3833333333333 0 95 96.1777777777778 94.1111111111111 95.25 96.1666666666667 102.076470588235 111.540573152338 118.817043740573
"Ger2" 95.3833333333333 95 0 94.6777777777778 93.1111111111111 93.95 94.4166666666667 102.076470588235 111.040573152338 118.817043740573
"Dij" 93.0598039215686 96.1777777777778 94.6777777777778 0 88.4 89.9277777777778 89.9277777777778 96.4542483660131 108.38371040724 117.58371040724
"Arne" 91.493137254902 94.1111111111111 93.1111111111111 88.4 0 88.2611111111111 86.1944444444444 97.3542483660131 106.68371040724 113.717043740573
"Nev" 92.8333333333333 95.25 93.95 89.9277777777778 88.2611111111111 0 89.65 98.3264705882353 106.690573152338 113.667043740573
"Gai" 91.55 96.1666666666667 94.4166666666667 89.9277777777778 86.1944444444444 89.65 0 97.743137254902 106.540573152338 113.567043740573
"MCa" 99.5264705882353 102.076470588235 102.076470588235 96.4542483660131 97.3542483660131 98.3264705882353 97.743137254902 0 111.657616892911 116.88371040724
"Rome3" 107.351684263449 111.540573152338 111.040573152338 108.38371040724 106.68371040724 106.690573152338 106.540573152338 111.657616892911 0 117.897682709447
"VimC" 117.567043740573 118.817043740573 118.817043740573 117.58371040724 113.717043740573 113.667043740573 113.567043740573 116.88371040724 117.897682709447 0
