"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 69.6 68.5 66.1666666666667 66.6666666666667 67.1666666666667 68 67.9978129713424 72.1833333333333 87.2811463046757
"Ger1" 69.6 0 66.5666666666667 66.3833333333333 66.8666666666667 65.2333333333333 65.7333333333333 68.2811463046757 70.1807692307692 86.7589240824535
"Dij" 68.5 66.5666666666667 0 63.5 62.5 63.3333333333333 63.1666666666667 65.4260180995475 67.6474358974359 84.8490339725634
"Arne" 66.1666666666667 66.3833333333333 63.5 0 58.9833333333333 59.15 60.3166666666667 62.0926847662142 62.1974358974359 83.8323673058967
"Nev" 66.6666666666667 66.8666666666667 62.5 58.9833333333333 0 59.3 60.6333333333333 61.7426847662142 64.8141025641026 81.6823673058967
"Che" 67.1666666666667 65.2333333333333 63.3333333333333 59.15 59.3 0 61.1666666666667 62.7426847662142 65.2807692307692 84.5537958773253
"Gai" 68 65.7333333333333 63.1666666666667 60.3166666666667 60.6333333333333 61.1666666666667 0 62.9093514328808 63.7807692307692 85.220462543992
"MCa" 67.9978129713424 68.2811463046757 65.4260180995475 62.0926847662142 61.7426847662142 62.7426847662142 62.9093514328808 0 66.8448717948718 83.3333333333333
"Rou" 72.1833333333333 70.1807692307692 67.6474358974359 62.1974358974359 64.8141025641026 65.2807692307692 63.7807692307692 66.8448717948718 0 84.8938616938617
"Rome3" 87.2811463046757 86.7589240824535 84.8490339725634 83.8323673058967 81.6823673058967 84.5537958773253 85.220462543992 83.3333333333333 84.8938616938617 0
