"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 75 75.05 74.6333333333333 74.3 73.3964912280702 73.3833333333333 73.8 87.6150889701973 85.793137254902
"Ger1" 75 0 77.65 78.5666666666667 76.7333333333333 74.3298245614035 76.3166666666667 77.2333333333333 90.5484223035307 89.043137254902
"Dij" 75.05 77.65 0 69.7333333333333 72.8 71.2464912280702 70.5 69.6666666666667 86.5625248676332 86.7820261437908
"Sens" 74.6333333333333 78.5666666666667 69.7333333333333 0 72.4 72.7631578947368 71.0833333333333 71.4166666666667 87.9625248676332 86.0486928104575
"Nev" 74.3 76.7333333333333 72.8 72.4 0 70.9964912280702 71.8166666666667 70.15 88.0958582009666 86.8264705882353
"Che" 73.3964912280702 74.3298245614035 71.2464912280702 72.7631578947368 70.9964912280702 0 70.8464912280702 71.0131578947368 87.9590160957034 86.493137254902
"Gai" 73.3833333333333 76.3166666666667 70.5 71.0833333333333 71.8166666666667 70.8464912280702 0 69.9166666666667 88.1625248676332 85.2098039215686
"MCa" 73.8 77.2333333333333 69.6666666666667 71.4166666666667 70.15 71.0131578947368 69.9166666666667 0 84.9958582009666 85.543137254902
"Rome3" 87.6150889701973 90.5484223035307 86.5625248676332 87.9625248676332 88.0958582009666 87.9590160957034 88.1625248676332 84.9958582009666 0 83.8246460797544
"VimA" 85.793137254902 89.043137254902 86.7820261437908 86.0486928104575 86.8264705882353 86.493137254902 85.2098039215686 85.543137254902 83.8246460797544 0
