"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 70.5641025641026 66.9307692307692 62.0807692307692 63.768648018648 66.3353146853147 64.718648018648 67.9327505827506 64.6641025641026 102.304092965858
"Ger1" 70.5641025641026 0 69.3666666666667 65.7833333333333 65.0045454545455 69.5712121212121 67.8545454545455 67.3807692307692 71.1 107.978205128205
"Dij" 66.9307692307692 69.3666666666667 0 57.6833333333333 60.2378787878788 63.8045454545455 61.5545454545455 62.6141025641026 61.7333333333333 102.763650075415
"Arne" 62.0807692307692 65.7833333333333 57.6833333333333 0 55.0212121212121 57.7545454545455 56.4712121212121 59.1974358974359 57.3333333333333 97.218778280543
"Nev" 63.768648018648 65.0045454545455 60.2378787878788 55.0212121212121 0 54.5666666666667 56.1833333333333 58.9641025641026 57.9333333333333 98.225641025641
"Aux" 66.3353146853147 69.5712121212121 63.8045454545455 57.7545454545455 54.5666666666667 0 59.75 62.5160839160839 58.4853146853147 98.7801864801865
"NIt" 64.718648018648 67.8545454545455 61.5545454545455 56.4712121212121 56.1833333333333 59.75 0 60.2807692307692 60.25 99.5469834087481
"Gai" 67.9327505827506 67.3807692307692 62.6141025641026 59.1974358974359 58.9641025641026 62.5160839160839 60.2807692307692 0 62.0307692307692 103.003263403263
"MCa" 64.6641025641026 71.1 61.7333333333333 57.3333333333333 57.9333333333333 58.4853146853147 60.25 62.0307692307692 0 100.398964760729
"Rome3" 102.304092965858 107.978205128205 102.763650075415 97.218778280543 98.225641025641 98.7801864801865 99.5469834087481 103.003263403263 100.398964760729 0
