"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.420175661823639 0.424349592239106 0.422494512054454 0.435480073347017 0.421566971962128 0.417393041546662 0.492987559071223 0.475364297317031 0.503190500086809
"Ger1" 0.420175661823639 0 0.427132212516084 0.414146651223521 0.432697453070039 0.413219111131195 0.414610421269684 0.490668708840409 0.478610687640172 0.504581810225298
"Sens" 0.424349592239106 0.427132212516084 0 0.41553796136201 0.411827800992706 0.409045180715728 0.413219111131195 0.48463969824029 0.469799056763076 0.494842639255876
"Arne" 0.422494512054454 0.414146651223521 0.41553796136201 0 0.421103201915965 0.401624859977121 0.411364030946543 0.484546944231058 0.475271543307799 0.502726730040645
"Nev" 0.435480073347017 0.432697453070039 0.411827800992706 0.421103201915965 0 0.414610421269684 0.41878435168515 0.48927739870192 0.477219377501683 0.503654270132972
"Gai" 0.421566971962128 0.413219111131195 0.409045180715728 0.401624859977121 0.414610421269684 0 0.399306009746306 0.478146917594009 0.46887151667075 0.50179918994832
"MCa" 0.417393041546662 0.414610421269684 0.413219111131195 0.411364030946543 0.41878435168515 0.399306009746306 0 0.482320848009476 0.464697586255283 0.50179918994832
"Rome2" 0.492987559071223 0.490668708840409 0.48463969824029 0.484546944231058 0.48927739870192 0.478146917594009 0.482320848009476 0 0.294493979313478 0.511538360917742
"Rome3" 0.475364297317031 0.478610687640172 0.469799056763076 0.475271543307799 0.477219377501683 0.46887151667075 0.464697586255283 0.294493979313478 0 0.516639831425534
"VimA" 0.503190500086809 0.504581810225298 0.494842639255876 0.502726730040645 0.503654270132972 0.50179918994832 0.50179918994832 0.511538360917742 0.516639831425534 0
