"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.536396435392076 0.530831194838121 0.517900194727459 0.509181317859596 0.516639831425534 0.509497772714625 0.553888750309705 0.597437946798371 0.654288879633695
"Ger1" 0.536396435392076 0 0.528697852625771 0.535252469278208 0.523750972133366 0.53008916276426 0.535190633272053 0.56808011372229 0.62075012111883 0.66124543032614
"Ger2" 0.530831194838121 0.528697852625771 0 0.526904608447275 0.518185731579411 0.522854350044118 0.525451462302631 0.56808011372229 0.617967500841852 0.66124543032614
"Dij" 0.517900194727459 0.535252469278208 0.526904608447275 0 0.491967264969665 0.500469715815986 0.500469715815986 0.536791094607831 0.603181420546539 0.65438163364293
"Arne" 0.509181317859596 0.523750972133366 0.518185731579411 0.491967264969665 0 0.491194314892727 0.479692817747885 0.541799811106391 0.593720511604815 0.632862703500967
"Nev" 0.516639831425534 0.53008916276426 0.522854350044118 0.500469715815986 0.491194314892727 0 0.498923815662109 0.547210461644958 0.593758704432146 0.632584441473269
"Gai" 0.509497772714625 0.535190633272053 0.525451462302631 0.500469715815986 0.479692817747885 0.498923815662109 0 0.543964071321818 0.592923918349053 0.632027917417873
"MCa" 0.553888750309705 0.56808011372229 0.56808011372229 0.536791094607831 0.541799811106391 0.547210461644958 0.543964071321818 0 0.621401497690453 0.650485965255161
"Rome3" 0.597437946798371 0.62075012111883 0.617967500841852 0.603181420546539 0.593720511604815 0.593758704432146 0.592923918349053 0.621401497690453 0 0.656128965031991
"VimC" 0.654288879633695 0.66124543032614 0.66124543032614 0.65438163364293 0.632862703500967 0.632584441473269 0.632027917417873 0.650485965255161 0.656128965031991 0
