"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.387340742555302 0.381218977945951 0.368233416653388 0.371016036930366 0.373798657207344 0.378436357668973 0.378424186328395 0.401717613986353 0.485740575010503
"Ger1" 0.387340742555302 0 0.37045951287497 0.369439218773412 0.372129085041157 0.363039192136363 0.36582181241334 0.380001004485349 0.390572863030868 0.482834282721216
"Dij" 0.381218977945951 0.37045951287497 0 0.353392775176173 0.347827534622218 0.352465235083847 0.351537694991522 0.364111529211427 0.376474253627514 0.472205284828057
"Arne" 0.368233416653388 0.369439218773412 0.353392775176173 0 0.328256438674141 0.329183978766467 0.335676759412749 0.345560727364909 0.346143692608457 0.466547290264868
"Nev" 0.371016036930366 0.372129085041157 0.347827534622218 0.328256438674141 0 0.33001876484956 0.337439085588167 0.343612893171025 0.360706072057974 0.454582023073864
"Che" 0.373798657207344 0.363039192136363 0.352465235083847 0.329183978766467 0.33001876484956 0 0.340407213883611 0.34917813372498 0.363303184316486 0.470562213807365
"Gai" 0.378436357668973 0.36582181241334 0.351537694991522 0.335676759412749 0.337439085588167 0.340407213883611 0 0.350105673817306 0.354955323485553 0.474272374176669
"MCa" 0.378424186328395 0.380001004485349 0.364111529211427 0.345560727364909 0.343612893171025 0.34917813372498 0.350105673817306 0 0.372007791336776 0.463770046162957
"Rou" 0.401717613986353 0.390572863030868 0.376474253627514 0.346143692608457 0.360706072057974 0.363303184316486 0.354955323485553 0.372007791336776 0 0.472454761880567
"Rome3" 0.485740575010503 0.482834282721216 0.472205284828057 0.466547290264868 0.454582023073864 0.470562213807365 0.474272374176669 0.463770046162957 0.472454761880567 0
