"Aqu" "Dij" "Sens" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.795629621349598 0.783107830103198 0.788673070657153 0.793774541164942 0.792383231026453 0.776258303267556 0.783107830103198 0.963164296220722 1
"Dij" 0.795629621349598 0 0.719307341598747 0.724872582152702 0.717452261414097 0.748061084460852 0.704690940583411 0.691481138828969 0.958760356720247 0.982792942133392
"Sens" 0.783107830103198 0.719307341598747 0 0.723481272014213 0.724408812106541 0.732756672937474 0.728343212937722 0.726263892291191 0.95527094656872 0.992995883148975
"Arne" 0.788673070657153 0.724872582152702 0.723481272014213 0 0.735539293214452 0.752235014876318 0.739473694045633 0.737394373399102 0.962264036719343 0.99856112370293
"Nev" 0.793774541164942 0.717452261414097 0.724408812106541 0.735539293214452 0 0.747597314414685 0.720922892199116 0.71327833099863 0.95279318212628 0.969343610794664
"NIt" 0.792383231026453 0.748061084460852 0.732756672937474 0.752235014876318 0.747597314414685 0 0.750736680881022 0.735539293214452 0.93932327270077 0.982236418077996
"Gai" 0.776258303267556 0.704690940583411 0.728343212937722 0.739473694045633 0.720922892199116 0.750736680881022 0 0.658777706013278 0.948865336631238 0.959759029840631
"MCa" 0.783107830103198 0.691481138828969 0.726263892291191 0.737394373399102 0.71327833099863 0.735539293214452 0.658777706013278 0 0.936356696028683 0.959140669779081
"Rome3" 0.963164296220722 0.958760356720247 0.95527094656872 0.962264036719343 0.95279318212628 0.93932327270077 0.948865336631238 0.936356696028683 0 0.976375771330096
"VimA" 1 0.982792942133392 0.992995883148975 0.99856112370293 0.969343610794664 0.982236418077996 0.959759029840631 0.959140669779081 0.976375771330096 0
