"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.593888724568618 0.563309497725822 0.522490438041173 0.536696133913931 0.55829797305976 0.544691619831543 0.571742474346324 0.544232548869767 0.861022036444791
"Ger1" 0.593888724568618 0 0.583810743668417 0.553652331873916 0.547097818697437 0.585532259775079 0.571084276450272 0.56709683316048 0.598398998675988 0.908777072117417
"Dij" 0.563309497725822 0.583810743668417 0 0.485480294050069 0.506980117426614 0.536998257538349 0.518061580365058 0.526979131889657 0.519566312961993 0.864889807389845
"Arne" 0.522490438041173 0.553652331873916 0.485480294050069 0 0.463075080721132 0.486079636694612 0.475278717121697 0.498223436922808 0.482534588712002 0.818222497546834
"Nev" 0.536696133913931 0.547097818697437 0.506980117426614 0.463075080721132 0 0.459249489372993 0.472855842601209 0.496259633364097 0.487584369291546 0.826696557440938
"Aux" 0.55829797305976 0.585532259775079 0.536998257538349 0.486079636694612 0.459249489372993 0 0.502873982712944 0.526154177447661 0.49223001047739 0.831363778885668
"NIt" 0.544691619831543 0.571084276450272 0.518061580365058 0.475278717121697 0.472855842601209 0.502873982712944 0 0.50734109630254 0.507082133195897 0.837817372616176
"Gai" 0.571742474346324 0.56709683316048 0.526979131889657 0.498223436922808 0.496259633364097 0.526154177447661 0.50734109630254 0 0.522069622992878 0.866906465272457
"MCa" 0.544232548869767 0.598398998675988 0.519566312961993 0.482534588712002 0.487584369291546 0.49223001047739 0.507082133195897 0.522069622992878 0 0.844987904091787
"Rome3" 0.861022036444791 0.908777072117417 0.864889807389845 0.818222497546834 0.826696557440938 0.831363778885668 0.837817372616176 0.866906465272457 0.844987904091787 0
