"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.635430722925979 0.641742948650409 0.638937514995107 0.658575550582224 0.637534798167456 0.631222572443026 0.745543993896596 0.718892374171224 0.760973879000759
"Ger1" 0.635430722925979 0 0.645951099133363 0.626313063546247 0.65436740009927 0.624910346718595 0.627014421960072 0.742037201827468 0.723801883068003 0.763077954242236
"Sens" 0.641742948650409 0.645951099133363 0 0.628417138787724 0.622806271477119 0.618598120994165 0.624910346718595 0.732919542447735 0.710476073205317 0.748349427551899
"Arne" 0.638937514995107 0.626313063546247 0.628417138787724 0 0.636833439753631 0.607376386372956 0.622104913063293 0.732779270764971 0.718752102488459 0.760272520586933
"Nev" 0.658575550582224 0.65436740009927 0.622806271477119 0.636833439753631 0 0.627014421960072 0.633326647684503 0.739933126585992 0.721697807826526 0.761675237414584
"Gai" 0.637534798167456 0.624910346718595 0.618598120994165 0.607376386372956 0.627014421960072 0 0.603869594303828 0.723100524654178 0.709073356377666 0.758869803759282
"MCa" 0.631222572443026 0.627014421960072 0.624910346718595 0.622104913063293 0.633326647684503 0.603869594303828 0 0.729412750378608 0.702761130653235 0.758869803759282
"Rome2" 0.745543993896596 0.742037201827468 0.732919542447735 0.732779270764971 0.739933126585992 0.723100524654178 0.729412750378608 0 0.445362592779246 0.77359833044962
"Rome3" 0.718892374171224 0.723801883068003 0.710476073205317 0.718752102488459 0.721697807826526 0.709073356377666 0.702761130653235 0.445362592779246 0 0.781313273001701
"VimA" 0.760973879000759 0.763077954242236 0.748349427551899 0.760272520586933 0.761675237414584 0.758869803759282 0.758869803759282 0.77359833044962 0.781313273001701 0
