"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.81119114143067 0.802774840464763 0.783219317632215 0.770033779452294 0.781313273001701 0.770512353428787 0.83764473054508 0.90350408395821 0.989479623792616
"Ger1" 0.81119114143067 0 0.799548591761166 0.809461124009901 0.792067435347026 0.801652667002643 0.809367609554724 0.859106298008141 0.938759033559844 1
"Ger2" 0.802774840464763 0.799548591761166 0 0.796836672561041 0.783651134381119 0.790711475746964 0.794639082864387 0.859106298008141 0.93455088307689 1
"Dij" 0.783219317632215 0.809461124009901 0.796836672561041 0 0.74400100538618 0.756859242972982 0.756859242972982 0.811787983688711 0.91218992658904 0.989619895475384
"Arne" 0.770033779452294 0.792067435347026 0.783651134381119 0.74400100538618 0 0.74283207469647 0.725438386033596 0.819362654558027 0.897882214946998 0.957076865073874
"Nev" 0.781313273001701 0.801652667002643 0.790711475746964 0.756859242972982 0.74283207469647 0 0.754521381593564 0.827545169385992 0.897939973875195 0.956656050025579
"Gai" 0.770512353428787 0.809367609554724 0.794639082864387 0.756859242972982 0.725438386033596 0.754521381593564 0 0.822635660489213 0.896677528730309 0.955814419928988
"MCa" 0.83764473054508 0.859106298008141 0.859106298008141 0.811787983688711 0.819362654558027 0.827545169385992 0.822635660489213 0 0.939744108906682 0.983728484799249
"Rome3" 0.90350408395821 0.938759033559844 0.93455088307689 0.91218992658904 0.897882214946998 0.897939973875195 0.896677528730309 0.939744108906682 0 0.992262380865717
"VimC" 0.989479623792616 1 1 0.989619895475384 0.957076865073874 0.956656050025579 0.955814419928988 0.983728484799249 0.992262380865717 0
