"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.631222572443026 0.631643387491321 0.628136595422193 0.625331161766891 0.617726960016993 0.617616219214809 0.621123011283937 0.7373949579279 0.722060863946624
"Ger1" 0.631222572443026 0 0.653525770002679 0.661240712554761 0.645810827450598 0.625582174251839 0.64230403538147 0.650018977933551 0.762082774094561 0.749413842085822
"Dij" 0.631643387491321 0.653525770002679 0 0.586896720689249 0.61270671031803 0.599631912940292 0.593349218096444 0.586335633958189 0.728536261654811 0.730383650457354
"Sens" 0.628136595422193 0.661240712554761 0.586896720689249 0 0.609340189931668 0.612396636071918 0.598258726993223 0.601064160648526 0.740319083007081 0.724211696415689
"Nev" 0.625331161766891 0.645810827450598 0.61270671031803 0.609340189931668 0 0.597527837698816 0.604430681034889 0.590403512758377 0.741441256469202 0.730757708278061
"Che" 0.617726960016993 0.625582174251839 0.599631912940292 0.612396636071918 0.597527837698816 0 0.59626539255393 0.59766810938158 0.740289552126499 0.727952274622759
"Gai" 0.617616219214809 0.64230403538147 0.593349218096444 0.598258726993223 0.604430681034889 0.59626539255393 0 0.588439709199665 0.742002343200262 0.717151355049845
"MCa" 0.621123011283937 0.650018977933551 0.586335633958189 0.601064160648526 0.590403512758377 0.59766810938158 0.588439709199665 0 0.71535072347489 0.719956788705148
"Rome3" 0.7373949579279 0.762082774094561 0.728536261654811 0.740319083007081 0.741441256469202 0.740289552126499 0.742002343200262 0.71535072347489 0 0.70549344976785
"VimA" 0.722060863946624 0.749413842085822 0.730383650457354 0.724211696415689 0.730757708278061 0.727952274622759 0.717151355049845 0.719956788705148 0.70549344976785 0
