"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 86.0118903971845 84.4368903971845 83.885631035631 92.6386946386946 83.7737262737263 84.6098793363499 104.181694002592 77.4094871794872 97.1991452991453 88.5833333333333 118.632185352774 95.3833333333333 117.567043740573 70.2815789473684 72.1833333333333 66.3353146853147
"Dij" 86.0118903971845 0 80.83 79.3664983164983 86.9070707070707 79.1859177859178 80.0883777442601 106.34512809745 77.4402777777778 99.4916666666667 NA 131.688448969331 94.6777777777778 117.58371040724 67.2899122807018 67.6474358974359 63.8045454545455
"Arne" 84.4368903971845 80.83 0 79.0164983164983 86.0681818181818 79.4692511192511 81.752266633149 105.212711689182 75.1736111111111 102.333333333333 87.0666666666667 134.880769230769 93.1111111111111 113.717043740573 59.15 62.1974358974359 57.7545454545455
"Nev" 83.885631035631 79.3664983164983 79.0164983164983 0 84.8611111111111 78.5815803244375 79.6265460030166 102.276295246353 76.3209090909091 92.1888888888889 87.9166666666667 117.168225238813 93.95 113.667043740573 65.1482456140351 64.8141025641026 54.5666666666667
"NIt" 92.6386946386946 86.9070707070707 86.0681818181818 84.8611111111111 0 87.6038461538461 87.0555555555556 117.127637612932 67.8545454545455 131.666666666667 NA 176.494871794872 NA NA NA NA 59.75
"Gai" 83.7737262737263 79.1859177859178 79.4692511192511 78.5815803244375 87.6038461538461 0 76.9295548988826 102.911697332595 75.9694871794872 91.8189865689866 85.9166666666667 115.944151164739 94.4166666666667 113.567043740573 66.0065789473684 63.7807692307692 62.5160839160839
"MCa" 84.6098793363499 80.0883777442601 81.752266633149 79.6265460030166 87.0555555555556 76.9295548988826 0 102.41303031334 78.6381900452489 92.0555555555556 86.6666666666667 116.018225238813 102.076470588235 116.88371040724 66.8779213304755 66.8448717948718 58.4853146853147
"Rome3" 104.181694002592 106.34512809745 105.212711689182 102.276295246353 117.127637612932 102.911697332595 102.41303031334 0 96.5652249333054 114.676241777945 52.9166666666667 117.366590209469 111.040573152338 117.897682709447 86.2564059865144 84.8938616938617 98.7801864801865
"Ger1" 77.4094871794872 77.4402777777778 75.1736111111111 76.3209090909091 67.8545454545455 75.9694871794872 78.6381900452489 96.5652249333054 0 77.6583333333333 88.1666666666667 89.8549019607843 95 118.817043740573 69.7815789473684 70.1807692307692 69.5712121212121
"Sens" 97.1991452991453 99.4916666666667 102.333333333333 92.1888888888889 131.666666666667 91.8189865689866 92.0555555555556 114.676241777945 77.6583333333333 0 87.0833333333333 117.797854868443 NA NA 72.7631578947368 NA NA
"Rome2" 88.5833333333333 NA 87.0666666666667 87.9166666666667 NA 85.9166666666667 86.6666666666667 52.9166666666667 88.1666666666667 87.0833333333333 0 91.9166666666667 NA NA NA NA NA
"VimA" 118.632185352774 131.688448969331 134.880769230769 117.168225238813 176.494871794872 115.944151164739 116.018225238813 117.366590209469 89.8549019607843 117.797854868443 91.9166666666667 0 NA NA 86.493137254902 NA NA
"Ger2" 95.3833333333333 94.6777777777778 93.1111111111111 93.95 NA 94.4166666666667 102.076470588235 111.040573152338 95 NA NA NA 0 118.817043740573 NA NA NA
"VimC" 117.567043740573 117.58371040724 113.717043740573 113.667043740573 NA 113.567043740573 116.88371040724 117.897682709447 118.817043740573 NA NA NA 118.817043740573 0 NA NA NA
"Che" 70.2815789473684 67.2899122807018 59.15 65.1482456140351 NA 66.0065789473684 66.8779213304755 86.2564059865144 69.7815789473684 72.7631578947368 NA 86.493137254902 NA NA 0 65.2807692307692 NA
"Rou" 72.1833333333333 67.6474358974359 62.1974358974359 64.8141025641026 NA 63.7807692307692 66.8448717948718 84.8938616938617 70.1807692307692 NA NA NA NA NA 65.2807692307692 0 NA
"Aux" 66.3353146853147 63.8045454545455 57.7545454545455 54.5666666666667 59.75 62.5160839160839 58.4853146853147 98.7801864801865 69.5712121212121 NA NA NA NA NA NA NA 0
