"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 84.0549019607843 91.493137254902 92.8333333333333 142.380769230769 91.55 99.5264705882353 107.351684263449 75.25 140.714102564103 111.141233766234 130.876984126984 95.3833333333333 158.011085972851 73.3964912280702 72.1833333333333 442.083333333333 114.357142857143 216.633838383838 130.753263403263 195.004545454545
"Dij" 84.0549019607843 0 88.4 81.3638888888889 99.5833333333333 80.2138888888889 83.0604575163399 105.573680241327 73.5083333333333 151.500901875902 NA 176.594871794872 94.6777777777778 117.58371040724 67.2899122807018 67.6474358974359 427.577777777778 NA 213.856060606061 63.8045454545455 NA
"Arne" 91.493137254902 88.4 0 88.2611111111111 135.166666666667 86.1944444444444 97.3542483660131 106.68371040724 70.4 148.833333333333 87.0666666666667 179.428205128205 93.1111111111111 154.119419306184 59.15 62.1974358974359 434.726007326007 NA 214.856060606061 116.734324009324 179.547435897436
"Nev" 92.8333333333333 81.3638888888889 88.2611111111111 0 134.333333333333 89.65 98.3264705882353 106.690573152338 77.2416666666667 130.166666666667 110.671536796537 130.281746031746 93.95 153.019419306184 70.9964912280702 64.8141025641026 444.353785103785 111.111111111111 213.583333333333 114.440384615385 179.397435897436
"NIt" 142.380769230769 99.5833333333333 135.166666666667 134.333333333333 0 134.897435897436 132.166666666667 168.783948078066 67.8545454545455 155.353174603175 NA 176.494871794872 NA 194.255128205128 NA NA NA NA 213.10101010101 119.423717948718 175.364102564103
"Gai" 91.55 80.2138888888889 86.1944444444444 89.65 134.897435897436 0 97.743137254902 106.540573152338 75.2833333333333 130.873626373626 111.672222222222 131.511904761905 94.4166666666667 151.076470588235 70.8464912280702 63.7807692307692 440.432819794584 134.095238095238 212.789682539683 118.35675990676 170.030769230769
"MCa" 99.5264705882353 83.0604575163399 97.3542483660131 98.3264705882353 132.166666666667 97.743137254902 0 111.657616892911 75.8666666666667 130.5 108.915584415584 129.170634920635 102.076470588235 153.609803921569 71.0131578947368 66.8448717948718 447.96746031746 113.111111111111 214.25 116.591375291375 173.530769230769
"Rome3" 107.351684263449 105.573680241327 106.68371040724 106.690573152338 168.783948078066 106.540573152338 111.657616892911 0 99.2633137158679 171.649533799534 92.7527861027861 145.826767676768 111.040573152338 146.90944741533 87.9590160957034 84.8938616938617 505.935209235209 156.656715506715 250.666666666667 147.236305361305 193.692424242424
"Ger1" 75.25 73.5083333333333 70.4 77.2416666666667 67.8545454545455 75.2833333333333 75.8666666666667 99.2633137158679 0 77.6583333333333 111.032647907648 90.6666666666667 95 118.817043740573 74.3298245614035 70.1807692307692 NA 113.412698412698 NA 69.5712121212121 NA
"Sens" 140.714102564103 151.500901875902 148.833333333333 130.166666666667 155.353174603175 130.873626373626 130.5 171.649533799534 77.6583333333333 0 87.0833333333333 133.672435897436 NA NA 72.7631578947368 NA 435.14898989899 NA 214.689393939394 NA NA
"Rome2" 111.141233766234 NA 87.0666666666667 110.671536796537 NA 111.672222222222 108.915584415584 92.7527861027861 111.032647907648 87.0833333333333 0 103.731601731602 NA NA 133.426406926407 NA NA 134.521645021645 NA NA NA
"VimA" 130.876984126984 176.594871794872 179.428205128205 130.281746031746 176.494871794872 131.511904761905 129.170634920635 145.826767676768 90.6666666666667 133.672435897436 103.731601731602 0 NA NA 108.054108309991 NA 565.784920634921 129.392857142857 NA NA NA
"Ger2" 95.3833333333333 94.6777777777778 93.1111111111111 93.95 NA 94.4166666666667 102.076470588235 111.040573152338 95 NA NA NA 0 118.817043740573 NA NA NA NA NA NA NA
"VimC" 158.011085972851 117.58371040724 154.119419306184 153.019419306184 194.255128205128 151.076470588235 153.609803921569 146.90944741533 118.817043740573 NA NA NA 118.817043740573 0 NA NA NA NA NA 193.669230769231 193.252564102564
"Che" 73.3964912280702 67.2899122807018 59.15 70.9964912280702 NA 70.8464912280702 71.0131578947368 87.9590160957034 74.3298245614035 72.7631578947368 133.426406926407 108.054108309991 NA NA 0 65.2807692307692 NA 111.928571428571 NA NA NA
"Rou" 72.1833333333333 67.6474358974359 62.1974358974359 64.8141025641026 NA 63.7807692307692 66.8448717948718 84.8938616938617 70.1807692307692 NA NA NA NA NA 65.2807692307692 0 NA NA NA NA NA
"Klo" 442.083333333333 427.577777777778 434.726007326007 444.353785103785 NA 440.432819794584 447.96746031746 505.935209235209 NA 435.14898989899 NA 565.784920634921 NA NA NA NA 0 NA NA NA NA
"Paris" 114.357142857143 NA NA 111.111111111111 NA 134.095238095238 113.111111111111 156.656715506715 113.412698412698 NA 134.521645021645 129.392857142857 NA NA 111.928571428571 NA NA 0 NA NA NA
"VimD" 216.633838383838 213.856060606061 214.856060606061 213.583333333333 213.10101010101 212.789682539683 214.25 250.666666666667 NA 214.689393939394 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 130.753263403263 63.8045454545455 116.734324009324 114.440384615385 119.423717948718 118.35675990676 116.591375291375 147.236305361305 69.5712121212121 NA NA NA NA 193.669230769231 NA NA NA NA NA 0 174.083333333333
"Ven" 195.004545454545 NA 179.547435897436 179.397435897436 175.364102564103 170.030769230769 173.530769230769 193.692424242424 NA NA NA NA NA 193.252564102564 NA NA NA NA NA 174.083333333333 0
